symbol,market,purge_note,enrolled,baseline_price,last_price,ret_pct,rsi,rsi_zone,last_checked
LOYALTEX,IN,evicted 2026-07-23 after 13 sessions in sell zone,2026-07-27,203.94000244140625,203.94000244140625,0.0,45.2,HOLD,2026-07-27
SCI,IN,evicted 2026-07-23 after 13 sessions in sell zone,2026-07-27,283.79998779296875,283.79998779296875,0.0,46.3,HOLD,2026-07-27
SUPREME,IN,nan | symbol corrected from SUPREMEPETRO (2026-07-23) | evicted 2026-07-23 after 13 sessions in sell zone,2026-07-27,44.58000183105469,44.58000183105469,0.0,41.4,HOLD,2026-07-27
VBL,IN,evicted 2026-07-23 after 13 sessions in sell zone,2026-07-27,464.5,464.5,0.0,37.6,SELL,2026-07-27
CANBK,IN,value_rerating 2026-07-27,2026-07-27,127.26000213623047,127.26000213623047,0.0,49.1,HOLD,2026-07-27
LGBBROSLTD,IN,value_rerating 2026-07-27,2026-07-27,1553.800048828125,1553.800048828125,0.0,47.9,HOLD,2026-07-27
7280.T,JP,value-reversion (LONG) | purged 2026-07-27 — prediction audit: stock bear-state + negative Kalman drift,2026-07-27,1172.0,1172.0,0.0,50.7,HOLD,2026-07-27
6047.T,JP,28.6 RSI @ 2026-07-22 | purged 2026-07-27 — prediction audit: stock bear-state + negative Kalman drift,2026-07-27,355.0,355.0,0.0,27.1,BUY,2026-07-27
FACT,US,technical 2026-07-22 | purged 2026-07-27 — prediction audit: stock bear-state + negative Kalman drift,2026-07-27,10.649999618530273,10.649999618530273,0.0,54.7,HOLD,2026-07-27
RPM,US,tuned-model 2026-07-24 | purged 2026-07-27 — prediction audit: stock bear-state + negative Kalman drift,2026-07-27,107.0,107.0,0.0,52.2,HOLD,2026-07-27
SOJE,US,cheap-vs-market (LONG) | purged 2026-07-27 — prediction audit: stock bear-state + negative Kalman drift,2026-07-27,16.540000915527344,16.540000915527344,0.0,31.9,BUY,2026-07-27
CHTR,US,cheap-vs-market (LONG) | purged 2026-07-27 — prediction audit: stock bear-state + negative Kalman drift,2026-07-27,123.30999755859375,123.30999755859375,0.0,35.2,HOLD,2026-07-27
SHOE,US,cheap-vs-market (LONG) | purged 2026-07-27 — prediction audit: stock bear-state + negative Kalman drift,2026-07-27,14.550000190734863,14.550000190734863,0.0,42.4,HOLD,2026-07-27
NXTT,US,cheap-vs-market (LONG) | purged 2026-07-27 — prediction audit: stock bear-state + negative Kalman drift,2026-07-27,0.6140000224113464,0.6140000224113464,0.0,24.5,BUY,2026-07-27
