symbol,market,status,note,entry_date,entry_price
94800,KR,signal,technical 2026-07-21,2026-07-21,6300.0
15020,KR,signal,technical 2026-07-21,2026-07-21,928.0
69460,KR,signal,technical 2026-07-21,2026-07-21,2660.0
380540,KR,signal,technical 2026-07-21,2026-07-21,8450.0
9310,KR,signal,technical 2026-07-21,2026-07-21,5325.0
3680,KR,signal,technical 2026-07-21,2026-07-21,8600.0
ASIANHOTNR,IN,signal,piotroski+debt 2026-07-21,2026-07-21,294.55
AARNAV,IN,signal,piotroski+debt 2026-07-21,2026-07-21,30.73
AYMSYNTEX,IN,signal,piotroski+debt 2026-07-21,2026-07-21,234.37
AMANTA,IN,signal,piotroski+debt 2026-07-21,2026-07-21,168.45
AGI,IN,signal,piotroski+debt 2026-07-21,2026-07-21,686.4
ANTELOPUS,IN,signal,piotroski+debt 2026-07-21,2026-07-21,868.45
AJANTPHARM,IN,signal,piotroski+debt 2026-07-21,2026-07-21,3575.3
ANUP,IN,signal,piotroski+debt 2026-07-21,2026-07-21,2139.3999
INDOSTAR,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,269.35
KONNDOR,IN,evicted,golden_cross 2026-07-13 (backfilled) | evicted 2026-07-23 after 10 sessions in sell zone,2026-07-13,15.8
VAIBHAVGBL,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,255.88
NARPROP,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,39.27
BDH,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,559.95
RUDRAGAS,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,73.8
MAHESHWARI,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,
PANCHSHEEL,IN,evicted,golden_cross 2026-07-13 (backfilled) | evicted 2026-07-23 after 6 sessions in sell zone,2026-07-13,118.35
CORDSCABLE,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,204.1
SUPRATRE,IN,evicted,golden_cross 2026-07-13 (backfilled) | evicted 2026-07-23 after 15 sessions in sell zone,2026-07-13,14.0
UNICHEMLAB,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,596.95
SVARTCORP,IN,evicted,golden_cross 2026-07-13 (backfilled) | evicted 2026-07-23 after 9 sessions in sell zone,2026-07-13,3.56
LMFA,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,2.84
GREE,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,2.03
RTB,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,14.96
ASBP,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,5.97
PML,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,7.52
IPHA,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,1.79
DLY,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,14.08
THRM,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,36.12
RRR,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,64.41
HRL,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,24.46
MNPR,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,103.33
EVEXIA,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,1.59
UPBD,US,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,21.15
NAMSW,US,evicted,golden_cross 2026-07-14 (backfilled) | evicted 2026-07-23 after 6 sessions in sell zone,2026-07-14,20.56
ARL,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,18.37
CCK,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,111.55
BN,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,44.47
CNH,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,10.57
BAX,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,22.15
IGI,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,16.02
FORR,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,10.41
DORM,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,137.55
USA,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,5.82
GEN,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,26.45
DBX,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,30.35
VRNS,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,47.33
ICUI,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,157.96
DFP,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,21.07
JYNT,US,signal,golden_cross 2026-07-14 (backfilled),2026-07-14,8.93
TTWO,US,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,243.8
AGIO,US,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,39.87
RPAY,US,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,4.09
OTLK,US,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,1.56
MSW,US,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,1.41
9202,JP,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,3004.0
9082,JP,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,1537.0
4221,JP,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,5040.0
2882,JP,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,2058.0
3076,JP,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,2712.0
3632,JP,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,399.0
9997,JP,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,1045.0
4728,JP,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,641.0
9686,JP,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,1633.0
PNDORA.CO,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,796.0
OTOEL.AT,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,11.06
LRE.L,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,651.5
FSG.L,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,469.0
ZAL.F,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,27.67
EXFY,US,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,1.76
LINK,US,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,4.27
PMA,US,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,1.37
IFBD,US,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,1.16
38880,KR,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,4240.0
54940,KR,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,867.0
AUSTENG,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,166.8
KRISHIVAL,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,399.65
TOTEM,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,150.6
360ONE,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,1098.6
GANESHHOU,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,847.95
RESPONIND,IN,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,190.53
