Symbol,downtrend,distress,blowup,untradeable,excluded,Company Name,Industry
NAVINFLUOR,False,False,False,False,False,Navin Fluorine International Ltd.,Chemicals
NETWEB,False,False,True,False,True,Netweb Technologies India Ltd.,Information Technology
NEULANDLAB,False,False,False,False,False,Neuland Laboratories Ltd.,Healthcare
NEWGEN,True,True,True,False,True,Newgen Software Technologies Ltd.,Information Technology
NIVABUPA,False,False,False,False,False,Niva Bupa Health Insurance Company Ltd.,Financial Services
NUVAMA,False,False,False,False,False,Nuvama Wealth Management Ltd.,Financial Services
NUVOCO,False,False,False,False,False,Nuvoco Vistas Corporation Ltd.,Construction Materials
OLAELEC,False,True,True,False,True,Ola Electric Mobility Ltd.,Automobile and Auto Components
OLECTRA,False,False,False,False,False,Olectra Greentech Ltd.,Automobile and Auto Components
ONESOURCE,False,False,False,False,False,Onesource Specialty Pharma Ltd.,Healthcare
PCBL,False,False,True,False,True,PCBL Chemical Ltd.,Chemicals
PGEL,False,False,False,False,False,PG Electroplast Ltd.,Consumer Durables
PNBHOUSING,False,False,False,False,False,PNB Housing Finance Ltd.,Financial Services
PTCIL,False,False,False,False,False,PTC Industries Ltd.,Capital Goods
PVRINOX,True,False,False,False,True,PVR INOX Ltd.,Media Entertainment & Publication
PARADEEP,True,False,False,False,True,Paradeep Phosphates Ltd.,Chemicals
PFIZER,True,False,False,False,True,Pfizer Ltd.,Healthcare
PWL,False,False,True,False,True,Physicswallah Ltd.,Consumer Services
PINELABS,True,False,False,False,True,Pine Labs Ltd.,Financial Services
PIRAMALFIN,False,False,False,False,False,Piramal Finance Ltd.,Financial Services
PPLPHARMA,False,False,False,False,False,Piramal Pharma Ltd.,Healthcare
POLYMED,False,False,False,False,False,Poly Medicure Ltd.,Healthcare
POONAWALLA,False,False,False,False,False,Poonawalla Fincorp Ltd.,Financial Services
PFOCUS,False,False,True,False,True,Prime Focus Ltd.,Media Entertainment & Publication
RRKABEL,False,False,False,False,False,R R Kabel Ltd.,Capital Goods
RBLBANK,False,False,False,False,False,RBL Bank Ltd.,Financial Services
RHIM,True,False,False,False,True,RHI MAGNESITA INDIA LTD.,Capital Goods
RITES,True,False,False,False,True,RITES Ltd.,Construction
RAILTEL,True,True,False,False,True,Railtel Corporation Of India Ltd.,Telecommunication
RAINBOW,False,False,False,False,False,Rainbow Childrens Medicare Ltd.,Healthcare
RKFORGE,False,False,False,False,False,Ramkrishna Forgings Ltd.,Automobile and Auto Components
REDINGTON,False,False,False,False,False,Redington Ltd.,Services
RPOWER,True,True,False,False,True,Reliance Power Ltd.,Power
SBFC,True,False,False,False,True,SBFC Finance Ltd.,Financial Services
SAGILITY,True,False,False,False,True,Sagility Ltd.,Information Technology
SAILIFE,False,False,False,False,False,Sai Life Sciences Ltd.,Healthcare
SAMMAANCAP,False,False,False,False,False,Sammaan Capital Ltd.,Financial Services
SAPPHIRE,True,True,False,False,True,Sapphire Foods India Ltd.,Consumer Services
SARDAEN,True,False,False,False,True,Sarda Energy and Minerals Ltd.,Metals & Mining
SAREGAMA,False,False,False,False,False,Saregama India Ltd,Media Entertainment & Publication
SCHNEIDER,False,False,True,False,True,Schneider Electric Infrastructure Ltd.,Capital Goods
SCI,False,False,False,False,False,Shipping Corporation of India Ltd.,Services
SHYAMMETL,False,False,False,False,False,Shyam Metalics and Energy Ltd.,Capital Goods
SIGNATURE,True,True,False,False,True,Signatureglobal (India) Ltd.,Realty
SOBHA,False,False,False,False,False,Sobha Ltd.,Realty
SONACOMS,False,False,False,False,False,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components
SONATSOFTW,True,True,True,False,True,Sonata Software Ltd.,Information Technology
STARHEALTH,False,False,False,False,False,Star Health and Allied Insurance Company Ltd.,Financial Services
SUMICHEM,False,False,False,False,False,Sumitomo Chemical India Ltd.,Chemicals
SUNTV,True,False,False,False,True,Sun TV Network Ltd.,Media Entertainment & Publication
SPLPETRO,False,False,False,False,False,Supreme Petrochem Ltd.,Chemicals
SWANCORP,True,False,False,False,True,Swan Corp Ltd.,Chemicals
SYNGENE,True,True,False,False,True,Syngene International Ltd.,Healthcare
SYRMA,False,False,False,False,False,Syrma SGS Technology Ltd.,Capital Goods
TBOTEK,False,False,False,False,False,TBO Tek Ltd.,Consumer Services
TATACHEM,True,False,False,False,True,Tata Chemicals Ltd.,Chemicals
TATATECH,False,False,False,False,False,Tata Technologies Ltd.,Information Technology
TTML,True,True,False,False,True,Tata Teleservices (Maharashtra) Ltd.,Telecommunication
TECHNOE,True,False,False,False,True,Techno Electric & Engineering Company Ltd.,Construction
TEGA,True,False,False,False,True,Tega Industries Ltd.,Capital Goods
TEJASNET,False,True,True,False,True,Tejas Networks Ltd.,Telecommunication
TENNIND,False,False,False,False,False,Tenneco Clean Air India Ltd.,Automobile and Auto Components
RAMCOCEM,True,False,False,False,True,The Ramco Cements Ltd.,Construction Materials
TIMKEN,True,False,False,False,True,Timken India Ltd.,Capital Goods
TITAGARH,False,True,False,False,True,Titagarh Rail Systems Ltd.,Capital Goods
TARIL,True,False,True,False,True,Transformers And Rectifiers (India) Ltd.,Capital Goods
TRAVELFOOD,False,False,False,False,False,Travel Food Services Ltd.,Consumer Services
TRIDENT,True,False,False,False,True,Trident Ltd.,Textiles
TRITURBINE,False,False,False,False,False,Triveni Turbine Ltd.,Capital Goods
UCOBANK,True,True,False,False,True,UCO Bank,Financial Services
UTIAMC,True,False,False,False,True,UTI Asset Management Company Ltd.,Financial Services
URBANCO,False,False,False,False,False,Urban Company Ltd.,Consumer Services
USHAMART,False,False,False,False,False,Usha Martin Ltd.,Capital Goods
VTL,False,False,False,False,False,Vardhman Textiles Ltd.,Textiles
VIJAYA,False,False,False,False,False,Vijaya Diagnostic Centre Ltd.,Healthcare
WELCORP,False,False,False,False,False,Welspun Corp Ltd.,Capital Goods
WELSPUNLIV,False,False,False,False,False,Welspun Living Ltd.,Textiles
WHIRLPOOL,True,True,False,False,True,Whirlpool of India Ltd.,Consumer Durables
WOCKPHARMA,False,False,False,False,False,Wockhardt Ltd.,Healthcare
ZFCVINDIA,False,False,False,False,False,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components
ZEEL,False,True,False,False,True,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication
ZENTEC,False,False,False,False,False,Zen Technologies Ltd.,Capital Goods
ZENSARTECH,True,False,False,False,True,Zensar Technolgies Ltd.,Information Technology
ZYDUSWELL,False,False,False,False,False,Zydus Wellness Ltd.,Fast Moving Consumer Goods
ECLERX,False,False,False,False,False,eClerx Services Ltd.,Services
