yr,sector,pe,roe,n
2022,Consumer Staples,21.759796276086636,0.1381156316916488,67
2022,Energy,5.9538956512141255,0.2742025740554471,60
2022,Financials,9.260317128923106,0.12208020705860044,344
2022,Health Care,24.182777867172703,0.141388968982988,103
2022,Industrials,17.56076803440001,0.15509130460835213,245
2022,Information Technology,18.620710524484018,0.13981510954149426,138
2022,Materials,13.882693233831546,0.17676204312484917,64
2022,Real Estate,20.4505678351729,0.06320487961800905,83
2022,Utilities,18.074574744403037,0.09225505915242699,37
2023,Communication Services,21.26558821819453,0.13179701443779815,33
2023,Consumer Discretionary,13.550077741284706,0.18156725073113553,157
2023,Consumer Staples,19.93680426104537,0.1502773575390822,65
2023,Energy,8.220214791257392,0.1662870673131131,69
2023,Financials,10.815116438412911,0.10168045405646028,361
2023,Health Care,25.393446567117756,0.12829870918004455,94
2023,Industrials,22.340955141893435,0.15218039042300632,233
2023,Information Technology,30.043190402093504,0.12016597467336197,147
2023,Materials,23.97156501702057,0.1607081723480217,59
2023,Real Estate,28.785120614667974,0.05752378392246178,79
2023,Utilities,17.57403768388295,0.09238407660253568,45
2024,Communication Services,23.157135076935266,0.16943963796086783,29
2024,Consumer Discretionary,17.173155465505722,0.14873110009690882,162
2024,Consumer Staples,23.92053863823171,0.14838981982531935,64
2024,Energy,13.356484213615705,0.1088955570612719,61
2024,Financials,12.311259816407597,0.09854008927411383,376
2024,Health Care,25.54976672131941,0.12873937952243983,109
2024,Industrials,22.111125543195357,0.14735303246600395,230
2024,Information Technology,30.058266069204237,0.1404962829013462,147
2024,Materials,22.708808586889607,0.11371890946149038,59
2024,Real Estate,28.712936167313046,0.05885333808339116,78
2024,Utilities,19.00746699299543,0.09095844795843055,42
2025,Communication Services,32.752525661841716,0.11289808772265152,35
2025,Consumer Discretionary,17.089051373323308,0.14024620547058136,151
2025,Consumer Staples,22.070663109706032,0.15042008218446226,56
2025,Energy,15.191132657430833,0.1115434646936305,61
2025,Financials,12.069310263645098,0.10491098356259167,385
2025,Health Care,23.40484146318365,0.15383024212533092,127
2025,Industrials,25.923395685626275,0.14731511474063597,215
2025,Information Technology,29.18558239747574,0.1365433973985934,148
2025,Materials,20.253508959519444,0.12314569675993488,53
2025,Real Estate,25.156642358636205,0.07496633435459048,82
2025,Utilities,19.9249055459784,0.09432439702322246,41
