market,regime,factor,mean_excess,info_ratio,mean_book,hit,n
JP,bull,trend,0.05501973689501531,0.44295999452756835,0.47906774744731273,0.5522388059701493,402
JP,bull,revert,-0.00822736840226786,-0.07185351392522299,0.4158206421500297,0.4900497512437811,402
JP,bull,mom126,0.13282407294939783,0.8290026609532812,0.4814583564915638,0.5732984293193717,382
JP,bull,mom_st,0.044535679457187186,0.3397739636626253,0.46858369000948474,0.5248756218905473,402
JP,bull,golden_cross,0.07613526257846295,0.8354749422724435,0.5001832731307604,0.6243781094527363,402
JP,bull,breakout,0.12398541892422921,0.7644781743310527,0.4726197024663952,0.5863874345549738,382
JP,bull,lowvol,-0.01967734599481802,-0.10330633560979383,0.4050423915247702,0.4688279301745636,401
JP,bull,mom252,0.08057320920610604,0.47519306191865185,0.3776536821414465,0.5602240896358543,357
JP,bull,qual_mom,0.10137462632259173,0.5024082864778848,0.4500089098647578,0.5418848167539267,382
JP,bull,def_revert,0.004024136100553747,0.01954940154036489,0.41931397885460553,0.4975,400
JP,bear,trend,-0.5701929859224748,-1.8280764124844175,0.10262480790616964,0.41379310344827586,116
JP,bear,revert,0.17667729267679816,0.8441038970464653,1.046359122848599,0.5862068965517241,116
JP,bear,mom126,-0.2862473234073278,-1.4513257535966093,0.5409667697154785,0.4188034188034188,117
JP,bear,mom_st,-0.34308874364414665,-1.5128114776345682,0.4841253494786597,0.37606837606837606,117
JP,bear,golden_cross,-0.22373153409336985,-1.044866123050775,0.6034825590294365,0.41025641025641024,117
JP,bear,breakout,-0.4275342550259498,-1.1016666691685975,0.24528353880269474,0.4224137931034483,116
JP,bear,lowvol,-0.04970319443045952,-0.14944389330040575,0.7775108986923469,0.42735042735042733,117
JP,bear,mom252,-0.2279366406185816,-1.2467122661947847,0.5992774525042248,0.37606837606837606,117
JP,bear,qual_mom,-0.09965295369014641,-0.24351703315249282,0.72756113943266,0.452991452991453,117
JP,bear,def_revert,0.1526589227802318,0.5657171252070484,1.0078367313401908,0.49557522123893805,113
KR,bull,trend,0.2684877219195568,1.5219914034805153,0.1470412124462527,0.5914893617021276,235
KR,bull,revert,-0.12265995857726933,-0.7113769600379151,-0.2441064680505734,0.425531914893617,235
KR,bull,mom126,0.08812353586340146,0.43204196884125323,0.045980862263529196,0.5462555066079295,227
KR,bull,mom_st,0.11738528122478076,0.6318713867431544,-0.0040612282485233235,0.5957446808510638,235
KR,bull,golden_cross,0.14672804349120286,0.920428803400043,0.025281534017898757,0.6127659574468085,235
KR,bull,breakout,0.6583454981143173,2.0410358967326467,0.6162028245144453,0.6431718061674009,227
KR,bull,lowvol,0.24240142291995628,0.930720779469249,0.12172255585052413,0.6111111111111112,234
KR,bull,mom252,0.157182038230346,0.7314268939828034,0.10686869891534961,0.5534883720930233,215
KR,bull,qual_mom,0.5743266928470058,1.5566795577923926,0.5321840192471337,0.6299559471365639,227
KR,bull,def_revert,0.06126362148055643,0.22141548239545147,-0.05941524558887567,0.5384615384615384,234
KR,bear,trend,-0.6879943304004112,-1.512402887886666,-0.6045557548181426,0.3380281690140845,284
KR,bear,revert,0.15501995130640234,0.7927121995337297,0.2370351684179957,0.5724381625441696,283
KR,bear,mom126,-0.28566881388288246,-1.266158246312262,-0.20951545269422087,0.40808823529411764,272
KR,bear,mom_st,-0.40844416123140836,-1.5199531188185713,-0.32500558564913967,0.38380281690140844,284
KR,bear,golden_cross,-0.25279071832371836,-1.0368448654762459,-0.16935214274144966,0.41901408450704225,284
KR,bear,breakout,-0.37263133347350486,-0.5695984467485704,-0.2964779722848431,0.44485294117647056,272
KR,bear,lowvol,0.1980251715865019,0.5896330662971053,0.28146374716877054,0.5140845070422535,284
KR,bear,mom252,-0.138819491090511,-0.6595765729551382,-0.09871153090530857,0.47876447876447875,259
