Industry,nfirms,pct_losing,pe,roe,peg,spec_score
Apparel,35,0.6285714285714286,37.82798638911136,0.08699403688126596,1.9880979406546182,0.5444444444444444
Precious Metals,56,0.8571428571428572,26.798624420328615,0.20974934254113753,0.2584914092880965,0.5351851851851852
Telecom. Services,39,0.7948717948717949,16.78771582738809,0.10594901219524502,0.13498434637043566,0.5037037037037037
Software (Entertainment),77,0.7142857142857143,39.340287731341554,0.1956487020706652,1.4417045920871183,0.5
Total Market,5994,0.5715715715715716,57.86385472116818,0.09536045863611721,1.9032642254291317,0.48148148148148145
Aerospace/Defense,79,0.5063291139240507,92.80031534792768,0.10191576521892634,1.408766335811037,0.4740740740740741
Food Processing,78,0.6025641025641026,47.968126344132195,0.12067020037632814,6.209667404210943,0.47407407407407404
Business & Consumer Services,155,0.567741935483871,36.396625335868265,0.0485136867691275,1.8865775607366422,0.4666666666666667
Farming/Agriculture,35,0.6571428571428571,19.115989413055647,0.0892340877333663,1.8340655917112954,0.46111111111111114
Semiconductor Equip,31,0.4516129032258065,46.82523406292883,0.02726665926294547,1.8235443155688114,0.44907407407407407
Hotel/Gaming,63,0.5396825396825398,46.60333945899176,0.06847671142401472,1.820815661707947,0.4481481481481482
Engineering/Construction,48,0.39583333333333337,63.33204875099555,0.06816958197390616,1.1805442696402018,0.4203703703703704
Restaurant/Dining,64,0.46875,48.32886275673705,0.0700410564128149,9.288751615033444,0.41481481481481475
Oilfield Svcs/Equip.,97,0.5773195876288659,33.30034533821973,0.09348622859557254,5.600757606108509,0.40185185185185185
Brokerage & Investment Banking,32,0.21875,86.54190898171709,0.08895476835182929,0.975389824567232,0.3907407407407407
Computer Services,64,0.546875,51.59929505052196,0.15454392289050287,2.1126710535960367,0.3666666666666667
Machinery,105,0.4285714285714286,35.761035877267844,0.06464360622666776,1.9668080651555742,0.337037037037037
Retail (Distributors),62,0.4516129032258065,28.796599056717547,0.05695632969391971,2.3691119834346943,0.3324074074074074
Oil/Gas (Production and Exploration),142,0.5915492957746479,30.983413096602018,0.16796371714506392,2.590541757883193,0.3277777777777778
R.E.I.T.,190,0.33684210526315794,36.95445006717891,0.062044544384019774,6.54506970078521,0.32407407407407407
Auto Parts,35,0.48571428571428577,28.07297694836023,0.0807809783763006,1.2666254509405188,0.30925925925925923
Construction Supplies,40,0.30000000000000004,42.74757028738539,0.07583144797155676,3.3909464412277033,0.3055555555555555
Building Materials,41,0.29268292682926833,32.79846401044874,0.05039304877764831,1.680595043318975,0.28703703703703703
Education,32,0.5,26.965784711966094,0.10449714136290728,0.7902513189084922,0.25
Hospitals/Healthcare Facilities,31,0.5161290322580645,18.804233489397635,0.12120866679574112,1.042283538920814,0.2222222222222222
Banks (Regional),568,0.14084507042253525,33.601517651478595,0.09401561231894147,0.9023849868380412,0.1907407407407407
Financial Svcs. (Non-bank & Insurance),176,0.40909090909090906,26.138389654542657,0.15051721624101708,1.0025962024935515,0.1537037037037037
Homebuilding,30,0.19999999999999996,11.453496315687763,0.09815948125297118,5.721565699323108,0.10555555555555554
Power,46,0.10869565217391308,24.741171913768934,0.09966392985149845,2.186098414018924,0.10185185185185186
Insurance (Prop/Cas.),57,0.14035087719298245,18.334441657372928,0.14907960737613224,0.7681827655726569,0.061111111111111116
