market,h,ret,excess,rsi_evict
IN,21,37.99297149550955,37.99297149550955,44.3
IN,63,81.02303787582974,83.0371233737124,44.3
IN,21,-3.7326177116369763,-2.0875346558948182,21.9
IN,63,-5.428153208099539,4.0800549316733505,21.9
IN,21,-2.571748043235178,-2.9886701798325643,34.6
IN,63,-11.355447881724434,-9.309539354740814,34.6
IN,21,3.234042553191485,4.931269405744876,18.9
IN,63,16.595744680851055,19.271897168612885,18.9
IN,21,6.909852325325105,6.209051185390879,46.0
IN,63,-0.26449195503636114,-0.6850413287521895,46.0
IN,21,-8.847867600254611,-7.945310413997554,34.7
IN,63,-21.493740717165288,-13.64092296010646,34.7
IN,21,-6.404049295774639,-3.963850420504345,41.5
IN,63,-13.919454225352112,-5.31540693119522,41.5
IN,21,-5.359856333747748,-3.356300181746186,31.8
IN,63,23.635861306810348,26.964334635078437,31.8
IN,21,4.963365634601757,6.4623954945155155,52.1
IN,63,-45.30843772157882,-41.86411071171702,52.1
IN,21,3.0334418467002022,5.062327765001607,18.4
IN,63,-8.138502515537137,-1.7061343393835129,18.4
IN,21,-6.7101760644263315,-1.8958508042409168,34.0
IN,63,-4.900887753861117,-1.3352877100994869,34.0
IN,21,12.957091231325201,14.729140196305034,38.0
IN,63,2.9505836090995885,7.865779885736435,38.0
IN,21,6.165148650970953,6.165148650970953,31.5
IN,63,6.794552328578796,8.808637826461451,31.5
IN,21,4.497551832300517,6.713106648670452,48.1
IN,63,9.873957616096707,14.716446327239774,48.1
IN,21,-5.034510759236699,-3.1431401008810593,41.8
IN,63,-5.107592367032076,-1.867080562771228,41.8
IN,21,5.844376486578318,5.143575346644091,46.8
IN,63,5.13081889228677,4.710269518570942,46.8
IN,21,6.954474097331231,6.954474097331231,48.2
IN,63,20.70643642072214,22.476731843467313,48.2
IN,21,10.325360273362062,11.954936390490479,39.8
IN,63,29.430990937453583,32.759464265721675,39.8
IN,21,-10.153421823823471,-10.570343960420857,49.1
IN,63,-1.5945526633339036,0.45135586364971614,49.1
IN,21,5.781525062540549,7.553574027520382,33.7
