symbol,market,filter,detail,score,signal_date,as_of,held_days,entry_used,basis,ret_pct,xret_pct,provenance,source
4221,JP,golden_cross_hist,GC _20260715_1919,,2026-07-15,2026-07-21,6,5040.0,panel-close,0.5952380952380931,,backfilled,japan_market_scan_20260715_1919.xlsx
3076,JP,golden_cross_hist,GC _20260715_1919,,2026-07-15,2026-07-21,6,2712.0,panel-close,0.4424778761061843,,backfilled,japan_market_scan_20260715_1919.xlsx
9686,JP,golden_cross_hist,GC _20260715_1919,,2026-07-15,2026-07-21,6,1633.0,panel-close,0.24494794856093627,,backfilled,japan_market_scan_20260715_1919.xlsx
4728,JP,golden_cross_hist,GC _20260715_1919,,2026-07-15,2026-07-21,6,641.0,panel-close,-0.31201248049922414,,backfilled,japan_market_scan_20260715_1919.xlsx
2882,JP,golden_cross_hist,GC _20260715_1919,,2026-07-15,2026-07-21,6,2058.0,panel-close,-0.5830903790087438,,backfilled,japan_market_scan_20260715_1919.xlsx
3632,JP,golden_cross_hist,GC _20260715_1919,,2026-07-15,2026-07-21,6,399.0,panel-close,-0.7518796992481258,,backfilled,japan_market_scan_20260715_1919.xlsx
3753,JP,golden_cross_hist,GC _20260717_0054,,2026-07-17,2026-07-21,4,190.0,panel-close,3.6842105263157787,,backfilled,japan_market_scan_20260717_0054.xlsx
6333,JP,golden_cross_hist,GC _20260717_0054,,2026-07-17,2026-07-21,4,3120.0,panel-close,2.4038461538461453,,backfilled,japan_market_scan_20260717_0054.xlsx
7033,JP,golden_cross_hist,GC _20260717_0054,,2026-07-17,2026-07-21,4,1362.0,panel-close,1.6886930983847304,,backfilled,japan_market_scan_20260717_0054.xlsx
3475,JP,golden_cross_hist,GC _20260717_0054,,2026-07-17,2026-07-21,4,1468.0,panel-close,0.95367847411445,,backfilled,japan_market_scan_20260717_0054.xlsx
8923,JP,golden_cross_hist,GC _20260717_0054,,2026-07-17,2026-07-21,4,1783.0,panel-close,0.6169377453729696,,backfilled,japan_market_scan_20260717_0054.xlsx
3420,JP,golden_cross_hist,GC _20260717_0054,,2026-07-17,2026-07-21,4,1585.0,panel-close,0.0,,backfilled,japan_market_scan_20260717_0054.xlsx
2820,JP,golden_cross_hist,GC _20260717_0054,,2026-07-17,2026-07-21,4,5040.0,panel-close,-0.9920634920634885,,backfilled,japan_market_scan_20260717_0054.xlsx
4443,JP,golden_cross_hist,GC _20260717_0054,,2026-07-17,2026-07-21,4,1827.0,panel-close,-1.7515051997810671,,backfilled,japan_market_scan_20260717_0054.xlsx
1787,JP,golden_cross_hist,GC _20260720_0140,,2026-07-20,2026-07-21,1,6030.0,panel-close,2.6533996683250516,,backfilled,japan_market_scan_20260720_0140.xlsx
8147,JP,golden_cross_hist,GC _20260720_0140,,2026-07-20,2026-07-21,1,1439.0,panel-close,2.154273801250861,,backfilled,japan_market_scan_20260720_0140.xlsx
8075,JP,golden_cross_hist,GC _20260720_2059,,2026-07-20,2026-07-21,1,2453.0,panel-close,2.079086832450061,,backfilled,japan_market_scan_20260720_2059.xlsx
8424,JP,golden_cross_hist,GC _20260720_2059,,2026-07-20,2026-07-21,1,4345.0,panel-close,1.8411967779056404,,backfilled,japan_market_scan_20260720_2059.xlsx
7060,JP,golden_cross_hist,GC _20260720_2059,,2026-07-20,2026-07-21,1,618.0,panel-close,1.6181229773462702,,backfilled,japan_market_scan_20260720_2059.xlsx
5269,JP,golden_cross_hist,GC _20260720_2059,,2026-07-20,2026-07-21,1,336.0,panel-close,1.4880952380952328,,backfilled,japan_market_scan_20260720_2059.xlsx
5108,JP,golden_cross_hist,GC _20260720_0140,,2026-07-20,2026-07-21,1,3729.0,panel-close,1.314025207830527,,backfilled,japan_market_scan_20260720_0140.xlsx
3020,JP,golden_cross_hist,GC _20260720_0140,,2026-07-20,2026-07-21,1,4070.0,panel-close,1.228501228501222,,backfilled,japan_market_scan_20260720_0140.xlsx
6276,JP,golden_cross_hist,GC _20260720_0140,,2026-07-20,2026-07-21,1,309.0,panel-close,0.9708737864077666,,backfilled,japan_market_scan_20260720_0140.xlsx
6915,JP,golden_cross_hist,GC _20260720_2059,,2026-07-20,2026-07-21,1,3260.0,panel-close,0.9202453987730008,,backfilled,japan_market_scan_20260720_2059.xlsx
6325,JP,golden_cross_hist,GC _20260720_2059,,2026-07-20,2026-07-21,1,400.0,panel-close,0.7500000000000062,,backfilled,japan_market_scan_20260720_2059.xlsx
5909,JP,golden_cross_hist,GC _20260720_2059,,2026-07-20,2026-07-21,1,1023.0,panel-close,0.2932551319648091,,backfilled,japan_market_scan_20260720_2059.xlsx
2818,JP,golden_cross_hist,GC _20260720_2059,,2026-07-20,2026-07-21,1,1770.0,panel-close,0.0,,backfilled,japan_market_scan_20260720_2059.xlsx
5938,JP,golden_cross_hist,GC _20260720_2059,,2026-07-20,2026-07-21,1,1874.5,panel-close,-0.6935182715390731,,backfilled,japan_market_scan_20260720_2059.xlsx
4543,JP,golden_cross_hist,GC _20260720_0140,,2026-07-20,2026-07-21,1,2267.5,panel-close,-1.1907386990077207,,backfilled,japan_market_scan_20260720_0140.xlsx
3680,KR,golden_cross_hist,GC _20260720_0142,,2026-07-20,2026-07-21,1,10170.0,panel-close,-15.437561455260573,,backfilled,korea_market_scan_20260720_0142.xlsx
LMFA,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,0.13199999928474426,panel-close,1907.5758056640625,1908.3607177734375,backfilled,us_full_scan_20260713_0904.xlsx
RTB,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,14.960000038146973,panel-close,9.024059295654297,9.808927536010742,backfilled,us_full_scan_20260713_0904.xlsx
MNPR,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,103.33000183105469,panel-close,7.538950443267822,8.32381820678711,backfilled,us_full_scan_20260713_0904.xlsx
UPBD,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,21.149999618530273,panel-close,4.775416851043701,5.560284614562988,backfilled,us_full_scan_20260713_0904.xlsx
ASBP,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,5.96999979019165,panel-close,4.522609710693359,5.307477951049805,backfilled,us_full_scan_20260713_0904.xlsx
HRL,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,24.459999084472656,panel-close,3.8021326065063477,4.587000846862793,backfilled,us_full_scan_20260713_0904.xlsx
RRR,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,64.41000366210938,panel-close,0.5278587341308594,1.3127267360687256,backfilled,us_full_scan_20260713_0904.xlsx
PML,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,7.519999980926514,panel-close,0.26595592498779297,1.0508239269256592,backfilled,us_full_scan_20260713_0904.xlsx
THRM,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,36.119998931884766,panel-close,-0.49834251403808594,0.2865254878997803,backfilled,us_full_scan_20260713_0904.xlsx
DLY,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,14.079999923706055,panel-close,-1.2073874473571777,-0.4225194454193115,backfilled,us_full_scan_20260713_0904.xlsx
IPHA,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,1.7899999618530273,panel-close,-2.23463773727417,-1.4497697353363037,backfilled,us_full_scan_20260713_0904.xlsx
GREE,US,golden_cross_hist,GC _20260713_0904,,2026-07-13,2026-07-17,4,2.0299999713897705,panel-close,-15.763545036315918,-14.978676795959473,backfilled,us_full_scan_20260713_0904.xlsx
CCK,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,109.73999786376953,panel-close,6.807005405426025,8.33321762084961,backfilled,us_full_scan_20260714_1205.xlsx
VRNS,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,45.380001068115234,panel-close,4.759800434112549,6.286013126373291,backfilled,us_full_scan_20260714_1205.xlsx
DBX,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,29.579999923706055,panel-close,3.5158872604370117,5.042099952697754,backfilled,us_full_scan_20260714_1205.xlsx
GEN,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,26.15999984741211,panel-close,2.21712589263916,3.7433385848999023,backfilled,us_full_scan_20260714_1205.xlsx
DORM,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,138.91000366210938,panel-close,2.2028684616088867,3.729081153869629,backfilled,us_full_scan_20260714_1205.xlsx
CNH,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,10.420000076293945,panel-close,2.111327648162842,3.637540340423584,backfilled,us_full_scan_20260714_1205.xlsx
FORR,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,10.1899995803833,panel-close,1.2757658958435059,2.801978588104248,backfilled,us_full_scan_20260714_1205.xlsx
BN,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,43.36000061035156,panel-close,0.6226897239685059,2.148902416229248,backfilled,us_full_scan_20260714_1205.xlsx
DFP,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,20.81999969482422,panel-close,0.3842473030090332,1.9104599952697754,backfilled,us_full_scan_20260714_1205.xlsx
BAX,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,22.56999969482422,panel-close,0.17722845077514648,1.7034411430358887,backfilled,us_full_scan_20260714_1205.xlsx
IGI,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,16.06999969482422,panel-close,0.12445449829101562,1.6506671905517578,backfilled,us_full_scan_20260714_1205.xlsx
ICUI,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,157.60000610351562,panel-close,-0.0571131706237793,1.469099521636963,backfilled,us_full_scan_20260714_1205.xlsx
USA,US,golden_cross_hist,GC _20260714_1205,,2026-07-14,2026-07-17,3,5.960000038146973,panel-close,-3.5234928131103516,-1.9972801208496094,backfilled,us_full_scan_20260714_1205.xlsx
