Symbol,ebit,capital_employed,roace,turnover,tier,roace_pct
SBFC,6984260000.0,86508470000.0,0.08073498467837889,88494653.05,MID,8.073498467837888
EUREKAFORB,2271332000.0,56510338000.0,0.04019321208094703,71195002.45,MID,4.019321208094703
RISHABH,1114820000.0,8265500000.0,0.13487629302522533,79793351.25,MID,13.487629302522533
NITCO,389881000.0,6532216000.0,0.05968587076728633,67535260.765,MID,5.968587076728633
HIMATSEIDE,4124598000.0,35675815000.0,0.11561328031328787,75972954.805,MID,11.561328031328786
INGERRAND,3448900000.0,6282300000.0,0.5489868360313898,83887652.05000001,MID,54.89868360313898
CHALET,9991030000.0,60219890000.0,0.16590913732987556,75956494.45,MID,16.590913732987556
AGI,5136900000.0,28180400000.0,0.18228626988971058,95147301.475,MID,18.228626988971058
ADFFOODS,1227958000.0,6396701000.0,0.1919673906909202,67109774.475,MID,19.19673906909202
KDDL,2380600000.0,22858600000.0,0.10414461078106271,66199556.25,MID,10.414461078106271
EMSLIMITED,1424640000.0,11726607000.0,0.12148782678570196,90550534.0,MID,12.148782678570196
UNIPARTS,2160860000.0,9731660000.0,0.22204433775943672,77180312.175,MID,22.20443377594367
BOMDYEING,379200000.0,22994900000.0,0.016490613135956234,85345971.215,MID,1.6490613135956234
KALAMANDIR,2204500000.0,16147500000.0,0.13652268152964855,78840052.94,MID,13.652268152964856
SPANDANA,-3057800000.0,62241900000.0,-0.04912767765765505,70424799.67500001,MID,-4.912767765765505
CAPACITE,3223079000.0,22655812000.0,0.1422627889037921,69340111.16,MID,14.22627889037921
PFIZER,9851500000.0,42944000000.0,0.2294034090909091,89702856.05,MID,22.94034090909091
ORCHPHARMA,342754000.0,16319408000.0,0.021002845201247497,66833829.849999994,MID,2.1002845201247498
FIEMIND,3442153000.0,13019557000.0,0.2643832658822416,87332955.55,MID,26.438326588224157
VIMTALABS,1044640000.0,4967050000.0,0.21031396905607957,87439988.325,MID,21.031396905607956
RAMCOSYS,529710000.0,4450590000.0,0.11902017485322171,84013618.17500001,MID,11.90201748532217
BAYERCROP,8747000000.0,31319000000.0,0.279287333567483,81158148.7,MID,27.928733356748296
HCG,2034900000.0,29053800000.0,0.07003903103896908,79808584.45,MID,7.003903103896908
JYOTISTRUC,574100000.0,24508900000.0,0.023424143882426383,90989807.33,MID,2.3424143882426383
COCKERILL,121211000.0,2326079000.0,0.05210958011314319,73016483.25,MID,5.210958011314319
BATAINDIA,3166480000.0,28185110000.0,0.11234584502242496,88741614.9,MID,11.234584502242496
PSPPROJECT,1105258000.0,13003038000.0,0.0849999823118259,66932478.575,MID,8.49999823118259
63MOONS,-354040000.0,36805925000.0,-0.009619103445980505,83154467.875,MID,-0.9619103445980505
FINPIPE,8256200000.0,64759500000.0,0.12749017518665215,74793617.57499999,MID,12.749017518665214
BIGBLOC,62060000.0,2621088000.0,0.02367719054072202,3867114.09,SMALL,2.367719054072202
UFO,490200000.0,4451500000.0,0.11012018420757048,4206166.66,SMALL,11.012018420757048
TRANSWORLD,-452700000.0,9252900000.0,-0.04892520182861589,4367944.325,SMALL,-4.892520182861589
OSWALGREEN,-584710000.0,2389121400000.0,-0.0002447385051257755,4586222.015000001,SMALL,-0.02447385051257755
MUNJALSHOW,297126000.0,6906545000.0,0.04302093159459614,4083504.3949999996,SMALL,4.302093159459615
PRIMO,353165000.0,4988491000.0,0.07079595813643845,4115759.295,SMALL,7.079595813643845
ALLDIGI,1051100000.0,4122000000.0,0.25499757399320716,4438608.824999999,SMALL,25.499757399320718
INDORAMA,2805200000.0,10212500000.0,0.27468298653610773,4343548.215,SMALL,27.468298653610773
SYSTMTXC,612643000.0,3274332000.0,0.18710472853699625,4065836.165,SMALL,18.710472853699624
AVG,655337000.0,4061454000.0,0.1613552683349362,5029480.27,SMALL,16.13552683349362
BHARATGEAR,360229000.0,1903984000.0,0.18919749325624585,4179627.37,SMALL,18.919749325624586
MAGADSUGAR,1207524000.0,11324822000.0,0.10662631165416993,5682838.375,SMALL,10.662631165416993
VETO,353401000.0,2966589000.0,0.11912705130370267,4889416.6,SMALL,11.912705130370266
KCPSUGIND,234713734.0,5319038294.0,0.04412709986780178,4113753.9799999995,SMALL,4.412709986780178
GANDHITUBE,910702000.0,3252905000.0,0.2799657536878575,4521569.075,SMALL,27.99657536878575
EIFFL,124700000.0,995200000.0,0.12530144694533762,5176997.225,SMALL,12.530144694533762
