HSN_Code,HSN_Chapter,Chapter_Name,Commodity,Import_FY24_25_USDmillions,Import_FY25_26_USDmillions,YoY_Growth_Percent,Base_Score,Chapter_Priority,Tier,Substitution_Potential,FY30_Savings_USDmillions,Confidence_Level,Quick_Win,Priority_Chemical
29182330,29,Organic Chemicals,SALICYLAMIDE,0.22,0.09,-61.9,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29182340,29,Organic Chemicals,BENZYL SALICYLATE,0.15,0.17,18.6,4.5,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29182390,29,Organic Chemicals,OTHER ESTERS OF SALICYLIC ACID AND THR SALTS,4.16,3.86,-7.2,3.0,High,Tier 3 (Specialty),15-30%,0.6,0.5,No,No
29182910,29,Organic Chemicals,GALIC ACID,1.02,0.77,-24.2,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29182920,29,Organic Chemicals,BETA HYDROXY NAPHTHOIC ACID,4.38,6.36,45.4,5.4,High,Tier 3 (Specialty),15-30%,1.0,0.5,No,No
29182930,29,Organic Chemicals,PROPYL GALLATE,0.61,0.39,-35.5,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29182990,29,Organic Chemicals,OTHER CARBOOXYLIC ACIDS WITH PHNL FN. ETC.,55.78,49.62,-11.0,3.0,High,Tier 3 (Specialty),15-30%,7.4,0.5,No,No
29183010,29,Organic Chemicals,LEVULINIC ACID,0.09,0.18,93.0,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29183020,29,Organic Chemicals,ETHYL ACETO ACETATE(ACETOACETIC ESTER),2.79,1.72,-38.3,3.0,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
29183030,29,Organic Chemicals,NALIDIXIC ACID,0.72,0.6,-16.6,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29183040,29,Organic Chemicals,METHYL  ACET0 ACETATE,3.58,2.6,-27.4,3.0,High,Tier 3 (Specialty),15-30%,0.4,0.5,No,No
