market,symbol,trades,hit,revenue_gross_gains,gross_trading_profit,txn_costs,income_tax,net_income,capital_deployed,operating_income_ebit,geography
US,RRGB,4,1.0,6488.675160761747,6488.675160761748,40.0,712.4378615406786,5736.237299221069,40000.0,6448.675160761748,United States
US,HOOD,5,0.8,7134.479176398305,6550.105790457916,50.0,783.7851104568641,5716.32068000105,50000.0,6500.105790457916,United States
US,KINS,4,1.0,6460.1668571325345,6460.1668571325345,40.0,709.2883161895137,5710.878540943021,40000.0,6420.1668571325345,United States
US,OMDA,3,1.0,6434.474948046264,6434.474948046265,30.0,707.5547027147745,5696.92024533149,30000.0,6404.474948046265,United States
US,DMAC,3,1.0,6333.631109877584,6333.631109877584,30.0,696.4136595356106,5607.217450341974,30000.0,6303.631109877584,United States
US,IPAR,4,1.0,6341.2887681514185,6341.2887681514185,40.0,696.1548818969816,5605.133886254436,40000.0,6301.2887681514185,United States
US,ZBIO,3,1.0,6315.2176191307135,6315.2176191307135,30.0,694.3793706864803,5590.838248444233,30000.0,6285.2176191307135,United States
US,FOUR,3,1.0,6310.270661034638,6310.270661034638,30.0,693.8328397852894,5586.437821249348,30000.0,6280.270661034638,United States
US,QLYS,2,1.0,6278.5869788748605,6278.5869788748605,20.0,691.4372661576647,5567.149712717196,20000.0,6258.5869788748605,United States
US,AMBA,2,1.0,6278.279692840973,6278.279692840973,20.0,691.4033177575039,5566.87637508347,20000.0,6258.279692840973,United States
US,GPC,5,1.0,6258.9584873093145,6258.958487309314,50.0,685.954400992183,5523.004086317131,50000.0,6208.958487309314,United States
US,LMRI,3,1.0,6213.376076064937,6213.376076064936,30.0,683.1281028913113,5500.247973173625,30000.0,6183.376076064936,United States
US,MYE,5,1.0,6120.256038651822,6120.256038651821,50.0,671.013023762739,5399.243014889083,50000.0,6070.256038651821,United States
US,XERS,4,1.0,6103.495438689072,6103.495438689072,40.0,669.8839088819941,5393.611529807078,40000.0,6063.495438689072,United States
US,ASTH,4,1.0,6100.309653546065,6100.3096535460645,40.0,669.5319491541383,5390.777704391927,40000.0,6060.3096535460645,United States
US,OC,4,1.0,6081.6004791460855,6081.6004791460855,40.0,667.4649937146991,5374.135485431386,40000.0,6041.6004791460855,United States
US,HRTG,5,1.0,6090.609597340615,6090.609597340615,50.0,667.3555229014032,5373.254074439212,50000.0,6040.609597340615,United States
US,WNC,5,0.8,6814.530548562636,6140.212040671675,50.0,748.4377700286958,5341.77427064298,50000.0,6090.212040671675,United States
US,PRVA,5,1.0,6036.88994991121,6036.88994991121,50.0,661.4206743033226,5325.4692756078875,50000.0,5986.88994991121,United States
US,AGMB,4,0.5,6296.522407066144,6040.735202951989,40.0,693.4187395282205,5307.316463423768,40000.0,6000.735202951989,United States
US,LGND,5,1.0,6004.922712043987,6004.922712043987,50.0,657.888992210842,5297.033719833145,50000.0,5954.922712043987,United States
US,ALMR,4,1.0,5987.4637112619685,5987.4637112619685,40.0,657.0649354187267,5290.398775843242,40000.0,5947.4637112619685,United States
US,CARG,4,1.0,5942.036549297162,5942.036549297163,40.0,652.0462254792039,5249.990323817959,40000.0,5902.036549297163,United States
US,MAN,2,1.0,5897.58471935985,5897.58471935985,20.0,649.3448319375825,5228.239887422267,20000.0,5877.58471935985,United States
US,GPCR,5,1.0,5918.198003350024,5918.198003350024,50.0,648.3078046855942,5219.89019866443,50000.0,5868.198003350024,United States
US,MAZE,4,1.0,5906.419202953773,5906.419202953772,40.0,648.11128606451,5218.307916889262,40000.0,5866.419202953772,United States
US,WEN,3,1.0,5866.663708373585,5866.663708373585,30.0,644.8239533334736,5191.839755040111,30000.0,5836.663708373585,United States
US,TDOC,4,1.0,5870.526843090942,5870.526843090942,40.0,644.1459636581473,5186.380879432794,40000.0,5830.526843090942,United States
US,FLYW,4,1.0,5847.992770743822,5847.992770743822,40.0,641.6564404747701,5166.336330269051,40000.0,5807.992770743822,United States
US,NEO,3,1.0,5833.264020164511,5833.26402016451,30.0,641.1340167417554,5162.130003422755,30000.0,5803.26402016451,United States
US,BH-A,4,1.0,5827.975488957819,5827.97548895782,40.0,639.4449677189007,5148.530521238919,40000.0,5787.97548895782,United States
US,ORIC,3,1.0,5753.931111904911,5753.931111904911,30.0,632.3694618368693,5091.561650068042,30000.0,5723.931111904911,United States
US,FLXS,5,1.0,5772.234935612714,5772.234935612714,50.0,632.1820713759943,5090.05286423672,50000.0,5722.234935612714,United States
US,ORKA,5,0.8,6217.410766539841,5813.393365341408,50.0,682.4690663829529,5080.9242989584545,50000.0,5763.393365341408,United States
US,NGNE,5,1.0,5750.132091875684,5750.132091875684,50.0,629.7401895423747,5070.391902333309,50000.0,5700.132091875684,United States
US,ETON,5,1.0,5702.137520009239,5702.137520009239,50.0,624.4378368429946,5027.699683166244,50000.0,5652.137520009239,United States
