effect,coef,se,p,horizon,n,p_fdr
reversal_monthly,0.9589434660904803,4.6859021368533975,0.8378499908069523,xret_T+126d,19591,0.8886287781285858
golden_cross:darvas,-0.19759165471435747,0.8856086521343386,0.8234468125168469,xret_T+126d,19591,0.8886287781285858
low_beta,0.37048920305322797,3.2967516968987813,0.9105220530636763,xret_T+126d,19591,0.930460492181859
log_liquidity,0.8068852232787034,0.13101769639816088,7.339211525947275e-10,xret_T+126d,19591,
volatility_63d,-0.05767095717589746,0.2031255363639728,0.7764733684862554,xret_T+126d,19591,
reversal_weekly,10.860662033863987,1.1903335280959781,7.236848910581045e-20,xret_T+21d,21766,1.0131588474813463e-17
below_200dma:low_beta,2.5784310047537127,0.33368120644948696,1.0991305459116554e-14,xret_T+21d,21766,3.8469569106907937e-13
darvas:new_highs,1.39841713239247,0.22221388233250786,3.111611017623589e-10,xret_T+21d,21766,3.9602322042482035e-09
new_highs:low_beta,1.2791007436331165,0.21044836590634367,1.2170670687064475e-09,xret_T+21d,21766,1.419911580157522e-08
new_highs:reversal_monthly,2.212346007240224,0.3983878465608511,2.80411835428679e-08,xret_T+21d,21766,2.617177130667671e-07
darvas:below_200dma,-2.265070589398377,0.43614436766162157,2.0649186875219047e-07,xret_T+21d,21766,1.4454430812653333e-06
golden_cross:below_200dma,2.4733746478381957,0.47782673935998976,2.2632917965118549e-07,xret_T+21d,21766,1.5088611976745699e-06
below_200dma:reversal_weekly,-5.519980963678925,1.1395844851807335,1.273444675161859e-06,xret_T+21d,21766,7.13129018090641e-06
reversal_weekly:low_beta,-3.029741036497645,0.8031083563463228,0.0001616080563927109,xret_T+21d,21766,0.0006284757748605425
darvas,3.345281006386399,0.8963923388766395,0.0001900119596143367,xret_T+21d,21766,0.0007000440617370299
golden_cross:low_beta,-0.5417824416924018,0.21292555171506283,0.010944406112915821,xret_T+21d,21766,0.03004346776094539
new_highs:reversal_weekly,-2.3096294032351157,0.9218932665281534,0.012234374179495324,xret_T+21d,21766,0.032938699714025875
below_200dma:reversal_monthly,1.1889869962629542,0.502170064403255,0.017899145558027667,xret_T+21d,21766,0.04474786389506917
darvas:reversal_monthly,0.869943694652197,0.3797485857810852,0.02197260152058318,xret_T+21d,21766,0.05303731401520077
new_highs,2.10664980194884,0.9757198140117366,0.030844544034042444,xret_T+21d,21766,0.07197060274609904
new_highs:below_200dma,-1.0155032085105424,0.4937154002944518,0.039699743267560934,xret_T+21d,21766,0.08684318839778954
reversal_weekly:reversal_monthly,-1.8289631947472444,1.0850506447075667,0.09187254451164334,xret_T+21d,21766,0.16077695289537586
below_200dma,1.834055532390579,1.0920899117346343,0.09307416062635539,xret_T+21d,21766,0.16086891960110808
low_beta,1.2529462805363376,0.8002876019029648,0.11743760343329497,xret_T+21d,21766,0.1911155568847964
golden_cross:reversal_weekly,-0.854903380075206,0.8235583943850111,0.2992419226772213,xret_T+21d,21766,0.4028256651424133
golden_cross:darvas,-0.22663410903189762,0.23711749298889187,0.3391792357400538,xret_T+21d,21766,0.44378591592156574
darvas:reversal_weekly,-0.7389945992698603,0.8787531497960455,0.40037139512145026,xret_T+21d,21766,0.5049729307838111
golden_cross,0.6686767059846804,0.8786482445496167,0.44663980646099655,xret_T+21d,21766,0.5533590522525621
golden_cross:new_highs,0.13715950524515932,0.23912100825183702,0.5662393753500744,xret_T+21d,21766,0.6661639710000875
reversal_monthly,-0.2011561925192844,1.1205109670048672,0.8575279686577519,xret_T+21d,21766,0.8959247433737706
reversal_monthly:low_beta,-0.059197042313837815,0.35339575864800316,0.8669694059135606,xret_T+21d,21766,0.8990793839103591
darvas:low_beta,0.02873592473689728,0.20738463123406659,0.8897951472805564,xret_T+21d,21766,0.915965592788808
golden_cross:reversal_monthly,-0.04143167552564854,0.40672893586616576,0.9188633776764061,xret_T+21d,21766,0.9321802382224411
log_liquidity,0.21311520494811684,0.04047500108497698,1.3991955264913406e-07,xret_T+21d,21766,
volatility_63d,-0.04480433649560288,0.6878015190358561,0.9480614380945604,xret_T+21d,21766,
