effect,coef,se,p,horizon,n,p_fdr
reversal_weekly:eps_growth,-3.5196763034062992,2.3009594413460865,0.1261019121709475,xret_T+126d,48095,0.5693407228613674
bull_cartel,-2.3429987304629663,1.5388002502998868,0.1278553171215097,xret_T+126d,48095,0.5751112777584888
bull_cartel:pead_positive_surprise,-2.3429987304629343,1.538800250299888,0.12785531712151527,xret_T+126d,48095,0.5751112777584888
darvas:roic_value,1.7348576776449842,1.1443280582645174,0.12950690323784445,xret_T+126d,48095,0.5785195756177297
magic_formula:reversal_weekly,8.34552846199345,5.50568270222125,0.12956926032430144,xret_T+126d,48095,0.5785195756177297
graham_10y:reversal_weekly,3.6583732791736927,2.4188368657528443,0.1304190594875081,xret_T+126d,48095,0.581598508525374
new_highs,1.6286148617811105,1.0897651186013428,0.13505435492940848,xret_T+126d,48095,0.587842152600257
sloan_quality:ps_value,-2.3790681460547463,1.5919352165719116,0.13505794910981112,xret_T+126d,48095,0.587842152600257
coffee_can:ev_sales,3.5195826306540345,2.3671703492842218,0.1370594101253031,xret_T+126d,48095,0.5912177740151241
not_distress:reversal_weekly,3.4330773258605314,2.3228034591420994,0.1394107958184967,xret_T+126d,48095,0.5940393156877803
darvas:coffee_can,-2.653616413079488,1.8181178298126246,0.14441643133723597,xret_T+126d,48095,0.5970747673737661
coffee_can:buyback_yield,2.864615398952694,1.956531269765314,0.14315853354861213,xret_T+126d,48095,0.5970747673737661
capacity_expansion:reversal_weekly,-3.4009932797959563,2.326253487062926,0.14373995157789884,xret_T+126d,48095,0.5970747673737661
reversal_weekly:pb_value,-2.641183707497779,1.8047171112826916,0.1433336112329114,xret_T+126d,48095,0.5970747673737661
pead_positive_surprise:operating_margin,2.188681204277711,1.4931591641373712,0.14270122950871655,xret_T+126d,48095,0.5970747673737661
pead_positive_surprise:ev_sales,-2.919863152057574,2.0002280843660514,0.14435464295473255,xret_T+126d,48095,0.5970747673737661
new_highs:insider_buying,-2.3181496596876725,1.6014608856347174,0.14775081505533014,xret_T+126d,48095,0.6019255690981115
sloan_quality:fcf_yield,-1.4217072143576988,0.982099911938848,0.14772342872900213,xret_T+126d,48095,0.6019255690981115
ps_value:low_beta,1.7779857554988605,1.2287825363386675,0.14791118667645053,xret_T+126d,48095,0.6019255690981115
net_debt_ebitda:operating_profit_growth,1.386699771744457,0.9561772403166036,0.14698772944382602,xret_T+126d,48095,0.6019255690981115
reversal_weekly:operating_profit_growth,-2.6848703978142385,1.870381055424323,0.1511540479571951,xret_T+126d,48095,0.6089780178519625
golden_cross:roce_plus,-3.0848193952684504,2.1730653332264143,0.15573276498858032,xret_T+126d,48095,0.6130463777806158
sloan_quality:roic_value,1.7109117462613814,1.2054523364863066,0.1558083701651831,xret_T+126d,48095,0.6130463777806158
capacity_expansion:ev_sales,-2.484996929320568,1.7483762375462377,0.155224613487344,xret_T+126d,48095,0.6130463777806158
growth_stocks:debt_reduction,9.930595418343554,6.940211966525115,0.15246523280191598,xret_T+126d,48095,0.6130463777806158
small_cap_growth:roic_value,-9.854722634298879,6.944938667541709,0.15590511717449,xret_T+126d,48095,0.6130463777806158
net_margin:operating_margin,1.7805776764356211,1.2518930322613222,0.15493681078362626,xret_T+126d,48095,0.6130463777806158
ev_sales:debt_reduction_and_opgrowth,10.12475375511722,7.122550550723569,0.1551694897939374,xret_T+126d,48095,0.6130463777806158
not_distress:reversal_monthly,-1.4637672549187846,1.0379855008372882,0.15848060692663923,xret_T+126d,48095,0.6199785772663962
coffee_can:net_margin,3.656601041681099,2.6119728775282254,0.16153177592893586,xret_T+126d,48095,0.6230501388381527
debt_reduction:eps_growth,-6.122509422481723,4.375545887199319,0.1617361888036849,xret_T+126d,48095,0.6230501388381527
operating_margin:fcf_yield,1.9012396763577135,1.3586035165765922,0.16169087961430761,xret_T+126d,48095,0.6230501388381527
roce_plus:low_asset_growth,-3.3734132384447104,2.418872481193123,0.16312979979625652,xret_T+126d,48095,0.6252452460747453
reversal_weekly:net_debt_ebitda,2.6343914186487853,1.895008557960369,0.1644760800135061,xret_T+126d,48095,0.6269135593943047
new_highs:not_distress,1.3247044557101446,0.9543258032294927,0.16510506259449198,xret_T+126d,48095,0.6275721227413674
net_margin:debt_reduction_and_opgrowth,7.69827919245266,5.574628958889045,0.1672945922823118,xret_T+126d,48095,0.6325826770674915
magic_formula:low_asset_growth,-3.9370800212677937,2.8636959686746044,0.16918579094664132,xret_T+126d,48095,0.6331385784910392
roce_plus:operating_margin,5.231570859963467,3.80045790411917,0.16864730521944016,xret_T+126d,48095,0.6331385784910392
graham_10y:ev_ebitda_value,3.078180030140517,2.2385148981022485,0.16910069450302656,xret_T+126d,48095,0.6331385784910392
coffee_can:reversal_monthly,-2.680711531469759,1.9566540503867715,0.1706716691382295,xret_T+126d,48095,0.635036667145039
not_distress:low_asset_growth,-1.4051506811288959,1.0257911130228754,0.1707426410836248,xret_T+126d,48095,0.635036667145039
debt_reduction:operating_profit_growth,9.729128199111598,7.114554235203972,0.17146972549673378,xret_T+126d,48095,0.6366693661069177
pb_value:low_beta,1.0236557421951873,0.7499543507780586,0.1722664390323505,xret_T+126d,48095,0.6375278229365001
bull_cartel:ps_value,2.580983407766237,1.8954668476460974,0.1733048738714149,xret_T+126d,48095,0.6393259066597928
new_highs:ps_value,1.8399586957139715,1.3540100851395847,0.17417959172409347,xret_T+126d,48095,0.639951333966052
small_cap_growth:fcf_margin,8.40451717187725,6.222773995687962,0.17682161203101576,xret_T+126d,48095,0.6444387284604703
roic_value:buyback_yield,-2.416713366477696,1.7900867519334356,0.17699873616393635,xret_T+126d,48095,0.6444387284604703
