effect,coef,se,p,horizon,n,p_fdr
new_highs:reversal_weekly,6.498230751872008,1.4912471819972548,1.3150768853620487e-05,xret_T+63d,41582,6.137025465022894e-05
golden_cross:new_highs,-1.2340863931058732,0.28438457617371876,1.428083527096826e-05,xret_T+63d,41582,6.151744424417096e-05
below_200dma:reversal_weekly,-5.239316616795854,1.2452354074219412,2.582218242350891e-05,xret_T+63d,41582,0.00010328872969403564
darvas,4.688123084129575,1.198664491583519,9.186834314725511e-05,xret_T+63d,41582,0.0003429751477497524
new_highs:low_beta,-0.8114703354275314,0.24207403312984085,0.0008018432824670275,xret_T+63d,41582,0.0026413661069502083
reversal_weekly:reversal_monthly,-4.505066077435982,1.3948866179536599,0.0012391993562093197,xret_T+63d,41582,0.0038013618884561906
golden_cross:low_beta,0.8109118688002992,0.2808743368518494,0.003888125223011725,xret_T+63d,41582,0.00907229218702736
below_200dma:reversal_monthly,1.8888563203126278,0.6961164791327363,0.006659266151553852,xret_T+63d,41582,0.014343034787962143
golden_cross:reversal_monthly,1.7262302977016968,0.6399675863317541,0.006988926256688535,xret_T+63d,41582,0.014495550754613258
below_200dma:low_beta,1.2650361704064983,0.4786187697146353,0.008215132609099894,xret_T+63d,41582,0.01586370434860669
reversal_weekly:low_beta,-2.785069640778766,1.1613534568940953,0.016479283838912794,xret_T+63d,41582,0.02796484530239747
darvas:low_beta,-0.5404725339233073,0.2397316580413305,0.024165383135964467,xret_T+63d,41582,0.03866461301754315
golden_cross:reversal_weekly,-2.592286145680277,1.2011535687708985,0.030915099113506036,xret_T+63d,41582,0.048090154176564946
reversal_monthly:low_beta,1.047322747203794,0.5078028780837951,0.03916403258944461,xret_T+63d,41582,0.059275292567808065
low_beta,1.7154221777850154,1.1102423077451662,0.12232495498903159,xret_T+63d,41582,0.15568630634967656
golden_cross,-1.5979181240438747,1.2264185471882059,0.1926040599767077,xret_T+63d,41582,0.23447450779773113
new_highs:reversal_monthly,-0.5397060113922161,0.7053874581598142,0.4442001257409415,xret_T+63d,41582,0.5292597242870791
below_200dma,0.7525293059592397,1.3946955537816774,0.5894968617409644,xret_T+63d,41582,0.6506045691406163
reversal_monthly,-0.2958995743960921,1.1220423424709849,0.7919994139740568,xret_T+63d,41582,0.8218614174475408
darvas:reversal_monthly,0.09607625763832042,0.5434686864367155,0.8596785062196548,xret_T+63d,41582,0.8753090245145575
darvas:reversal_weekly,0.14749963432531793,1.1487644154166512,0.8978336136591331,xret_T+63d,41582,0.8978336136591331
log_liquidity,0.20963399630668328,0.2943230014712038,0.4763048503939802,xret_T+63d,41582,
volatility_63d,0.5543907586868775,8.999626270874844,0.9508801575238442,xret_T+63d,41582,
