symbol,country,pegu_score,pegu_grade,darvas,piotroski,coffee_can,cc_score,n_product_codes,in_validated_universe,market
Halma PLC,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Hamborner REIT,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Hannover Rueck SE,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Havas,Netherlands,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,NL
Heineken,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Heineken Holding N.V.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Heineken N.V.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Henkel AG & Co.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Hensoldt,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Hermes Int. (mini),Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Hermes International,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
Hermes Intl S.A.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Hexagon [SEK],Sweden,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,SE
Hiab,Finland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,FI
Home Depot Inc/The DIVIDEND FUT,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
Huber+Suhner,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
Husqvarna [SEK],Sweden,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,SE
IBERDROLA S.A.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
ICADE S.A.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
IDORSIA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
IDORSIA LTD,Switzerland,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,CH
IMCD,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
IMCD N.V.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
IMCD NV,Netherlands,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,NL
IMERYS,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
IMI PLC,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
IMPERIAL BRANDS (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
IMPERIAL BRANDS GROUP,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
INCHCAPE PLC,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
INDITEX SA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
INDRA SISTEMAS,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
INDRA SISTEMAS SA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
INFICON HOLDING AG,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
INFINEON AG,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
INFORMA,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
INFORMA (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
INFRASTRUTTURE WIRELESS,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
INFRASTRUTTURE WIRELESS ITALIA,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
ING GROEP DIVIDENDS,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
ING Groep N.V.,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
INTEL,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
INTERNATIONAL BUSINESS MACHINE,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
INTERPUMP GROUP,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
INTERTEK (GBX),Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
INTERTEK GRP,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
INTESA SANPAOLO,Germany,18,C,DIVIDEND_ONLY,3,FAIL,1/4,1,0,DE
INVESTEC PLC,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
ITALGAS HOLDING S.P.A.,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
ITV PLC,Germany,18,C,FUTURES_ONLY,3,FAIL,1/4,1,0,DE
Iberdrola,Germany,18,C,OPTIONS_ONLY,3,FAIL,1/4,1,0,DE
