symbol,country,darvas,piotroski,coffee_can,cc_score,has_ssf,has_sso,has_trf,has_div,n_product_codes,in_validated_universe,is_dax40,pegu_score,pegu_grade,market
GENERALI,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
GERRESHEIMER,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,1,0,2,0,0,43,C+,DE
GIVAUDAN,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
GRENKE AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
GRIFOLS,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
HANNOVER RUECK SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
HAPAG-LLOYD AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
HENKEL AG & CO. KGAA VZ,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
HEWLETT PACKARD ENTERPRISE CO,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
HOCHTIEF,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
HOLCIM,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,1,0,2,0,0,43,C+,DE
HUHTAMAKI,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
HelloFresh SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
Hornbach Holding,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
Hypoport,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
INTEL CORP,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
JENOPTIK AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
JERONIMO MARTINS,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
JOHNSON & JOHNSON,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
JUNGHEINRICH AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
K+S,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
KRONES AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
Koninklijke Philips,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,1,0,2,0,0,43,C+,DE
LANXESS,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
LEGRAND,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
LONZA GROUP,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,1,0,2,0,0,43,C+,DE
