Product,Contract,PreviousDaySettlementPrice
OESX,OESX SI 20280317 CS EU C 5300 0,1340.9
OESX,OESX SI 20270416 CS EU P 3800 0,23.1
OESX,OESX SI 20331216 CS EU C 7500 0,875.6
OESX,OESX SI 20260717 CS EU P 7100 0,737.7
OESX,OESX SI 20260831 CS EU P 5100 0,7.3
OESX,OESX SI 20341215 CS EU P 6400 0,950.5
OESX,OESX SI 20301220 CS EU C 4900 0,1874.3
OESX,OESX SI 20260703 CS EU P 5890 0,0.1
OESX,OESX SI 20260918 CS EU P 5700 0,34.2
OESX,OESX SI 20260703 CS EU C 6410 0,0.9
OESX,OESX SI 20280616 CS EU P 7300 0,1095
OESX,OESX SI 20260918 CS EU P 4675 0,6.7
OESX,OESX SI 20270319 CS EU P 4950 0,61.6
OESX,OESX SI 20351221 CS EU P 5700 0,760.2
OESX,OESX SI 20260930 CS EU P 7075 0,697.2
OESX,OESX SI 20270917 CS EU P 7600 0,1237
OESX,OESX SI 20260904 CS EU C 5625 0,771.8
OESX,OESX SI 20261218 CS EU P 7900 0,1481.5
OESX,OESX SI 20271217 CS EU C 4400 0,2053.5
OESX,OESX SI 20291221 CS EU C 6250 0,929
OESX,OESX SI 20270521 CS EU C 5000 0,1446.3
OESX,OESX SI 20261218 CS EU C 3000 0,3371.1
OESX,OESX SI 20311219 CS EU C 7400 0,683.6
OESX,OESX SI 20260703 CS EU P 6190 0,0.1
OESX,OESX SI 20261120 CS EU P 7075 0,699.8
OESX,OESX SI 20260828 CS EU P 6825 0,460
OESX,OESX SI 20261016 CS EU P 6100 0,114
OESX,OESX SI 20260821 CS EU C 7000 0,2.2
OESX,OESX SI 20260814 CS EU C 7050 0,0.7
OESX,OESX SI 20270521 CS EU C 6650 0,270.2
OESX,OESX SI 20270618 CS EU C 2600 0,3704.4
OESX,OESX SI 20270219 CS EU C 7350 0,39
OESX,OESX SI 20281215 CS EU C 5200 0,1466.9
OESX,OESX SI 20291221 CS EU P 7700 0,1412.1
OESX,OESX SI 20260703 CS EU P 5940 0,0.1
OESX,OESX SI 20291221 CS EU P 5850 0,534
OESX,OESX SI 20270917 CS EU P 6600 0,563.6
OESX,OESX SI 20270618 CS EU P 4500 0,63.9
OESX,OESX SI 20260703 CS EU C 6350 0,18.9
OESX,OESX SI 20260703 CS EU P 6570 0,210.6
OESX,OESX SI 20270416 CS EU C 6450 0,361.2
OESX,OESX SI 20260807 CS EU P 5375 0,4.7
OESX,OESX SI 20260918 CS EU C 2000 0,4363.3
OESX,OESX SI 20260703 CS EU P 5300 0,0.1
OESX,OESX SI 20280317 CS EU P 5100 0,192.8
OESX,OESX SI 20260918 CS EU P 6575 0,275
OESX,OESX SI 20260930 CS EU P 7275 0,890.4
OESX,OESX SI 20260828 CS EU C 6175 0,276.8
OESX,OESX SI 20260814 CS EU P 5625 0,11.3
OESX,OESX SI 20260930 CS EU C 6475 0,139.2
OESX,OESX SI 20260831 CS EU P 6675 0,331.2
OESX,OESX SI 20261120 CS EU C 5575 0,880.2
OESX,OESX SI 20260703 CS EU P 5050 0,0.1
OESX,OESX SI 20331216 CS EU P 4100 0,340
OESX,OESX SI 20260731 CS EU C 6125 0,270.9
OESX,OESX SI 20280616 CS EU P 5300 0,262
OESX,OESX SI 20270219 CS EU P 5500 0,99.1
OESX,OESX SI 20260724 CS EU C 5000 0,1361.3
OESX,OESX SI 20270115 CS EU P 6250 0,232.8
OESX,OESX SI 20261218 CS EU P 5625 0,84.2
OESX,OESX SI 20280616 CS EU C 3850 0,2515.5
OESX,OESX SI 20260724 CS EU P 7325 0,961.5
OESX,OESX SI 20260703 CS EU C 6010 0,349.4
OESX,OESX SI 20260703 CS EU C 6175 0,184.5
OESX,OESX SI 20260703 CS EU C 5875 0,484.4
OESX,OESX SI 20281215 CS EU C 3975 0,2451.1
OESX,OESX SI 20260930 CS EU C 6075 0,397.2
OESX,OESX SI 20271217 CS EU C 5750 0,953.4
OESX,OESX SI 20270115 CS EU C 7250 0,35.8
OESX,OESX SI 20260821 CS EU P 7500 0,1125.2
OESX,OESX SI 20260904 CS EU C 6750 0,25.5
OESX,OESX SI 20261218 CS EU P 4850 0,31
OESX,OESX SI 20261120 CS EU C 6600 0,151.5
