NSE/BSE dual-listing correlation check -- 1568 dual-listed symbols found out of 2378 checked, period=1y

Correlation distribution (same company, NSE quote vs BSE quote):
  mean:   0.9448
  median: 0.9894
  min:    -0.1603
  max:    0.9999
  p10:    0.8545

Anomalies (correlation < 0.8, 120 found):
    symbol  correlation  common_days  nse_last_close  bse_last_close  price_gap_pct
TAINWALCHM       0.8943          246          232.00          232.70         -0.301
       KSR       0.8965          153           28.70           28.82         -0.416
   TARAPUR       0.8967          246           17.96           18.44         -2.603
GENUSPAPER       0.8969          246           11.83           11.88         -0.421
   AVROIND       0.8970          248            9.55            9.66         -1.139
 SAHLIBHFI       0.8974           64           78.00           76.78          1.589
 ORICONENT       0.8974          246           56.33           56.72         -0.688
  SANATHAN       0.8976          246          443.75          444.35         -0.135
    PRAENG       0.8977          246           19.41           19.35          0.310
      AFSL       0.8980          246          202.28          201.80          0.238
LAMBODHARA       0.8991          246          113.81          113.75          0.053
   RUBFILA       0.9001          246           74.16           74.62         -0.616
  KANPRPLA       0.9003          246          202.94          200.70          1.116
    GATECH       0.9005          246            0.48            0.48          0.000
  LOTUSEYE       0.9017          246          124.38          124.05          0.266
       UEL       0.9035          247          128.36          128.20          0.125
SHARIABEES       0.9047          245          456.87          456.96         -0.020
     RAJTV       0.9050          246           12.00           12.02         -0.166
BLBLIMITED       0.9052          246           16.05           16.05          0.000
  RELIABLE       0.9056          246          144.42          143.95          0.327
 ENERGYDEV       0.9056          246           17.20           17.21         -0.058
      LINC       0.9081          246          113.73          112.95          0.691
      ALPA       0.9102          246           68.91           68.78          0.189
 MURUDCERA       0.9104          246           31.43           31.49         -0.191
     ANMOL       0.9111          246           10.93           10.95         -0.183
 ZENITHSTL       0.9114          246            5.51            5.58         -1.254
      SMLT       0.9116          246           67.76           68.50         -1.080
 KANANIIND       0.9122          246            1.54            1.54          0.000
 UMIYA-MRO       0.9127          246           89.99           89.63          0.402
     GSLSU       0.9134          246           36.47           36.73         -0.708
  BANSWRAS       0.9148          246          119.11          119.25         -0.117
 ASAHISONG       0.9149          246          283.95          283.70          0.088
 JAYAGROGN       0.9151          246          222.95          223.40         -0.201
   ORCHASP       0.9157          246            1.94            1.95         -0.513
   LOVABLE       0.9174          246           78.30           77.76          0.694
  SUVIDHAA       0.9177          246            2.54            2.54          0.000
      MKPL       0.9185          246            4.60            4.59          0.218
CSLFINANCE       0.9190          246          226.14          226.05          0.040
   AAATECH       0.9190          246           95.04           95.37         -0.346
 TIPSFILMS       0.9203          246          329.95          326.05          1.196
 DIAMINESQ       0.9209          246          270.61          272.00         -0.511
  KENNAMET       0.9212           62         2769.10         2770.45         -0.049
  BAGFILMS       0.9215          246            4.52            4.51          0.222
  SUKHJITS       0.9217          246          169.40          170.30         -0.528
 GOYALALUM       0.9218          246            6.63            6.63          0.000
      BTML       0.9219          246            6.38            6.41         -0.468
     VINNY       0.9222          246            1.06            1.07         -0.935
       CNL       0.9224          145          938.80          933.65          0.552
     NRAIL       0.9225          246          447.25          443.55          0.834
 BELLACASA       0.9230          242          255.25          260.00         -1.827
      DJML       0.9230          246          111.80          113.35         -1.367
   SUNDROP       0.9230          246          637.35          635.95          0.220
 BCONCEPTS       0.9233          246          214.89          215.25         -0.167
 COMPUSOFT       0.9235          246           13.17           13.16          0.076
 AYMSYNTEX       0.9235          247          234.46          233.90          0.239
 KRISHIVAL       0.9236          246          399.75          399.25          0.125
      VSTL       0.9237          246          112.52          112.25          0.241
    EXXARO       0.9245          246            6.55            6.56         -0.152
   ALMONDZ       0.9245          246           13.02           13.06         -0.306
  ALPHAGEO       0.9249          245          199.12          195.75          1.722
ARIHANTSUP       0.9250          246          262.90          265.40         -0.942
      UCAL       0.9263          246          119.54          119.70         -0.134
 VALUEAXIS       0.9274          242           32.86           33.06         -0.605
       ACL       0.9279          246           49.40           49.37          0.061
  VIRINCHI       0.9289          246           15.97           15.97          0.000
   SAMPANN       0.9291          246           28.36           27.86          1.795
  CAPTRUST       0.9292          246           12.65           12.50          1.200
  SINCLAIR       0.9295          246           76.93           76.70          0.300
       WSI       0.9299          246           65.67           64.92          1.155
   VASWANI       0.9303          246           53.80           54.06         -0.481
 GUJAPOLLO       0.9307          246          371.05          368.30          0.747
    GRPLTD       0.9314          246         1901.80         1865.25          1.960
   SOMATEX       0.9322          246          114.06          114.70         -0.558
 NAHARPOLY       0.9325          246          253.70          257.00         -1.284
  SURAKSHA       0.9335          246          260.95          261.30         -0.134
   SUPREME       0.9337          246           47.35           48.00         -1.354
KOTHARIPRO       0.9341          247           68.99           69.17         -0.260
 MAHASTEEL       0.9342          246          881.65          875.85          0.662
ROSSELLIND       0.9344          246           56.84           56.39          0.798
   GAYAHWS       0.9347          246            1.87            1.88         -0.532
       DVL       0.9351          246          243.78          244.70         -0.376
    COMSYN       0.9352          246          195.30          194.55          0.386
      TREL       0.9355          246           25.50           25.73         -0.894
   CHEVIOT       0.9355          246         1123.40         1120.00          0.304
MAHAPEXLTD       0.9358          246           44.19           44.57         -0.853
       TRU       0.9362          246            5.20            5.19          0.193
      TICL       0.9363          246           12.30           12.37         -0.566
      BLAL       0.9365          246          184.60          184.70         -0.054
 LANDSMILL       0.9365          246            0.75            0.75          0.000
 SAKHTISUG       0.9366          246           16.67           16.64          0.180
       DCI       0.9368          246          277.70          282.10         -1.560
   DCBBANK       0.9370          246          192.24          192.15          0.047
      IRIS       0.9377          246          257.95          258.10         -0.058
   KUANTUM       0.9379          246           76.94           77.47         -0.684
   HARDWYN       0.9381          246           24.12           24.11          0.041
   JUBLCPL       0.9382          246         2051.30         2045.05          0.306
  A2ZINFRA       0.9384          246           13.15           13.13          0.152
  NILKAMAL       0.9384          246         1350.10         1347.50          0.193
      DEVX       0.9388          201           34.90           34.94         -0.114
      SSDL       0.9390          246           55.45           55.28          0.308
 PASHUPATI       0.9397          244           86.95           87.07         -0.138
 INVENTURE       0.9401          246            0.92            0.93         -1.075
   DHARMAJ       0.9401          246          256.20          256.20          0.000
   NGLFINE       0.9403          246         3160.90         3161.50         -0.019
NATHBIOGEN       0.9403          246          164.98          165.30         -0.194
       TCC       0.9410           90          335.90          334.50          0.419
SPECIALITY       0.9412          246          124.05          128.00         -3.086
   MALLCOM       0.9416          246         1088.20         1084.55          0.337
 ASHIMASYN       0.9418          246           14.85           14.85          0.000
    MEDICO       0.9418          246           39.17           39.27         -0.255
  KOHINOOR       0.9421          246           24.32           24.25          0.289
 VISHWARAJ       0.9423          246            5.42            5.44         -0.368
      VSSL       0.9425          246          295.20          295.25         -0.017
 INTENTECH       0.9434          246           96.99           97.11         -0.124
   BAIDFIN       0.9435          246           10.28           10.30         -0.194
SOMICONVEY       0.9436          246           98.05           97.55          0.513
SUMEETINDS       0.9441          246           32.63           32.62          0.031
 COASTCORP       0.9442          246           51.85           51.92         -0.135
  MANAKSIA       0.9442          246           58.44           57.40          1.812
     NITCO       0.9443          246          107.06          107.25         -0.177
      SCPL       0.9444          246          495.60          497.30         -0.342
       VGL       0.9445          247           63.28           63.28          0.000
    BORANA       0.9449          246          307.15          304.55          0.854
      ICRA       0.9449          246         5284.00         5287.50         -0.066
  STYRENIX       0.9455          246         2317.70         2316.75          0.041
   FOODSIN       0.9455          246           61.10           61.80         -1.133
BSLGOLDETF       0.9460          245          124.45          124.49         -0.032
NIPPOBATRY       0.9472          246          338.40          340.40         -0.588
     DUCON       0.9477          246            3.07            3.10         -0.968
  VIDHIING       0.9479          246          297.55          298.10         -0.185
KOKUYOCMLN       0.9481          246           86.73           86.78         -0.058
    DYNPRO       0.9489          246          233.88          233.90         -0.009
      GTPL       0.9490          246           60.22           60.60         -0.627
  XTGLOBAL       0.9500          246           28.55           28.38          0.599
  TERASOFT       0.9501          246          397.75          399.30         -0.388
   RANASUG       0.9502          246           12.10           12.09          0.083
 KCPSUGIND       0.9514          246           21.97           22.01         -0.182
PRAKASHSTL       0.9515          246            4.12            4.12          0.000
      KICL       0.9518          246         5679.50         5690.00         -0.185
   ABINFRA       0.9523          246           10.24           10.24          0.000
 RNBDENIMS       0.9525          211            9.97            9.97          0.000
   MAANALU       0.9528          246          122.07          121.90          0.139
  FINKURVE       0.9533          189           65.73           64.88          1.310
  ATALREAL       0.9536          246           28.96           29.01         -0.172
VARDMNPOLY       0.9537          246            6.66            6.70         -0.597
  AVONMORE       0.9537          246           10.00           10.00          0.000
     YUKEN       0.9539          246          766.90          769.90         -0.390
  INDIQUBE       0.9539          234          175.05          174.25          0.459
    SCHAND       0.9539          246          152.11          151.45          0.436
      PPAP       0.9542          246          372.14          372.30         -0.043
MAGADSUGAR       0.9543          247          517.90          518.50         -0.116
    KINGFA       0.9546          246         5117.00         5113.75          0.064
   KMSUGAR       0.9548          246           27.96           27.88          0.287
      CIFL       0.9549          246           22.24           22.20          0.180
     DEVIT       0.9552          246           28.08           28.22         -0.496
   DOLPHIN       0.9552          246          393.95          394.50         -0.139
