symbol,correlation,common_days,nse_last_close,bse_last_close,price_gap_pct
PVSL,0.9638,246,93.95,94.18,-0.244
CENTRUM,0.9641,246,25.36,25.48,-0.471
DIVGIITTS,0.9641,246,959.35,956.3,0.319
ONWARDTEC,0.9641,246,290.45,290.55,-0.034
HLVLTD,0.9645,246,7.49,7.47,0.268
RAJRATAN,0.9651,246,480.8,480.3,0.104
RANEHOLDIN,0.9651,246,1760.0,1764.35,-0.247
SOUTHWEST,0.9653,246,224.03,224.05,-0.009
TRIGYN,0.9653,246,58.89,59.15,-0.44
MUTHOOTCAP,0.9654,246,225.55,226.15,-0.265
INDSWFTLAB,0.9655,246,237.7,238.35,-0.273
WANBURY,0.9658,246,300.45,300.75,-0.1
TIL,0.966,246,214.93,214.6,0.154
CUBEXTUB,0.9661,246,80.72,81.04,-0.395
MEDICAMEQ,0.9665,246,237.65,238.3,-0.273
VLSFINANCE,0.9665,246,255.55,256.25,-0.273
EIHAHOTELS,0.9668,246,326.25,326.35,-0.031
AHCL,0.9673,212,15.39,15.43,-0.259
HONDAPOWER,0.9675,246,2143.5,2139.8,0.173
ASHIANA,0.9682,246,376.0,377.05,-0.278
OILIETF,0.9682,241,11.33,11.33,0.0
STCINDIA,0.9685,246,123.0,123.05,-0.041
LIBERTSHOE,0.9687,246,267.6,267.5,0.037
ORIENTCER,0.9687,246,41.48,41.45,0.072
VINYLINDIA,0.9688,246,253.5,254.15,-0.256
JUBLPHARMA,0.9689,246,972.7,973.85,-0.118
TNPL,0.969,246,145.32,145.45,-0.089
TVSHLTD,0.969,246,14210.0,14211.0,-0.007
MAHEPC,0.969,246,120.73,120.8,-0.058
SHANTIGEAR,0.9691,246,443.5,443.2,0.068
BALAJITELE,0.9692,246,91.89,91.44,0.492
ADFFOODS,0.9693,246,319.45,319.5,-0.016
RADIANTCMS,0.9694,246,37.83,37.88,-0.132
JLHL,0.9694,246,1463.7,1462.85,0.058
TRF,0.9695,246,240.63,239.7,0.388
KRYSTAL,0.9697,246,600.6,600.05,0.092
MAXIND,0.9698,246,167.44,166.6,0.504
INTLCONV,0.9698,246,79.81,80.0,-0.238
WONDERLA,0.9699,246,472.45,473.7,-0.264
INTERNET,0.9702,200,13.54,13.57,-0.221
JITFINFRA,0.9703,246,357.6,357.0,0.168
BAJAJINDEF,0.9704,246,247.85,247.5,0.141
UFO,0.9705,246,70.52,70.4,0.17
CCCL,0.9712,246,17.4,17.37,0.173
KKCL,0.9713,246,504.05,503.9,0.03
VIKASLIFE,0.9713,246,1.4,1.4,0.0
AMRUTANJAN,0.9715,246,540.45,540.0,0.083
DBCORP,0.9716,246,202.39,202.15,0.119
ANUHPHR,0.9718,246,78.77,78.95,-0.228
SOMANYCERA,0.9719,246,536.85,536.6,0.047
CAPITALSFB,0.9721,246,298.55,298.15,0.134
MOLDTECH,0.9722,246,126.97,128.7,-1.344
INDBANK,0.9723,246,33.32,33.34,-0.06
ALICON,0.9723,246,637.65,638.1,-0.071
JUNIPER,0.9723,246,199.95,201.25,-0.646
SHAH,0.9723,246,4.64,4.66,-0.429
SMARTWORKS,0.9727,243,474.3,472.7,0.338
HAPPYFORGE,0.9727,246,1593.0,1591.3,0.107
BIRLAMONEY,0.9727,246,157.8,158.35,-0.347
VIKASECO,0.9728,246,1.22,1.23,-0.813
TCIEXP,0.973,246,565.85,566.75,-0.159
MONARCH,0.9731,246,363.5,364.6,-0.302
GREENLAM,0.9731,246,260.95,261.8,-0.325
INDOBORAX,0.9732,246,472.65,471.65,0.212
MONTECARLO,0.9733,246,537.25,537.95,-0.13
ASIANTILES,0.9733,246,48.43,48.33,0.207
ORIENTTECH,0.9734,246,258.8,259.05,-0.097
PDSL,0.9734,246,359.35,359.9,-0.153
RAMAPHO,0.9735,246,125.71,124.95,0.608
SYNCOMF,0.9735,246,13.94,13.94,0.0
INNOVACAP,0.9737,246,1000.1,999.95,0.015
PVP,0.9738,246,29.49,29.4,0.306
RUSHIL,0.9738,246,15.8,15.81,-0.063
PDMJEPAPER,0.9738,247,85.61,85.74,-0.152
RELTD,0.9739,246,174.71,174.75,-0.023
BMWVENTLTD,0.9739,189,58.57,58.84,-0.459
HNDFDS,0.974,246,571.3,570.75,0.096
NSIL,0.974,246,5492.5,5480.2,0.224
BCPL,0.9742,72,71.03,70.51,0.737
KRONOX,0.9744,246,150.7,151.25,-0.364
MVGJL,0.9745,246,165.14,165.55,-0.248
SATIA,0.9745,246,55.39,55.48,-0.162
