symbol,correlation,common_days,nse_last_close,bse_last_close,price_gap_pct
DODLA,0.9745,246,1110.6,1106.25,0.393
DIAMONDYD,0.9745,246,1197.1,1187.6,0.8
SURAJEST,0.9745,246,207.3,207.55,-0.12
WINDLAS,0.9747,246,852.25,852.1,0.018
CCAVENUE,0.9748,246,18.21,18.22,-0.055
REMSONSIND,0.9749,246,78.54,78.45,0.115
ADOR,0.975,246,1333.0,1332.2,0.06
UNIMECH,0.9751,246,1173.8,1172.95,0.072
SUNCLAY,0.9753,246,1393.3,1397.0,-0.265
RPGLIFE,0.9755,246,2822.9,2819.25,0.129
ARIES,0.9757,246,346.35,346.4,-0.014
NDL,0.976,246,2.39,2.39,0.0
BFUTILITIE,0.976,246,672.55,671.75,0.119
SRTL,0.9761,88,40.72,40.35,0.917
GALAPREC,0.9762,246,1156.8,1159.5,-0.233
PAUSHAKLTD,0.9763,151,571.15,571.35,-0.035
FABTECH,0.9763,188,158.27,158.55,-0.177
UGARSUGAR,0.9765,246,40.31,40.24,0.174
SPENCERS,0.9765,246,35.39,35.4,-0.028
EXPLEOSOL,0.9766,246,823.05,818.85,0.513
WINDMACHIN,0.9767,246,312.8,314.4,-0.509
BFINVEST,0.9768,246,535.25,538.2,-0.548
VEEDOL,0.9769,246,1449.9,1451.3,-0.096
BHAGCHEM,0.977,246,293.85,295.2,-0.457
