yf_symbol,market_name,quality_tier,quality_score,momentum_3m,above_ma200
BPYPO,United States,Strong,7.992916764618313,-0.9240884037858416,1
7780.T,Japan,Strong,7.989100685510031,-0.9302325581395348,1
600483.SS,China,Strong,7.988665887963487,-0.9407373508291448,1
CTA-PA,United States,Strong,7.993966444135947,-0.9459800646338714,1
REX,United States,Strong,7.98669611102129,-0.9469286646568592,1
BCPC,United States,Strong,7.99276170890829,-0.9505897984939086,1
SILVERAG.NS,India,Strong,7.987914055451771,-0.9737701826068408,1
000400.KS,South Korea,Strong,7.984667211885221,-0.9779951100244498,1
013700.KS,South Korea,Strong,7.985447076440252,-0.996168582375479,1
0156.HK,Hong Kong,Strong,7.987290741016293,-0.9999990463256836,1
STRRP,United States,Strong,7.988751313043199,-1.0000038146972656,1
TVC,United States,Strong,7.9967751732985715,-1.0106296430505652,1
BKV,United States,Strong,7.987054115936448,-1.0133868541496778,1
8163.T,Japan,Strong,7.995030141665662,-1.0358565737051793,1
3958.T,Japan,Strong,7.992692255022674,-1.0405827834642274,1
CDR-PB,United States,Strong,7.983435725323968,-1.0565286067045423,1
688180.SS,China,Strong,7.983846619395598,-1.067707893542135,1
4249.T,Japan,Strong,7.991667685141273,-1.070399341292713,1
SILVER360.NS,India,Strong,7.983932972227287,-1.0819525070686435,1
002142.SZ,China,Strong,7.99062083278228,-1.1100171549294564,1
EMB.AX,Australia,Strong,7.99612277570253,-1.1124864139724484,1
5408.T,Japan,Strong,7.990458453103233,-1.1146496815286624,1
3974.T,Japan,Strong,7.99164698849323,-1.1209582430362413,1
DUK,United States,Strong,7.994645597180059,-1.1345333504521569,1
WINA,United States,Strong,7.990492501708093,-1.1466746414068762,1
7670.T,Japan,Strong,7.990936578481662,-1.147227533460803,1
PCG-PG,United States,Strong,7.988556969483275,-1.148566483501109,1
HUBB,United States,Strong,7.991112345559537,-1.150463375404772,1
1822.T,Japan,Strong,7.992047644988807,-1.1508951406649617,1
290720.KQ,South Korea,Strong,7.981958736797349,-1.1589403973509933,1
8904.T,Japan,Strong,7.995543573693562,-1.183431952662722,1
VLGEA,United States,Strong,7.99154840617059,-1.18411574459417,1
6513.T,Japan,Strong,7.99276134491921,-1.1959521619135236,1
AZJ.AX,Australia,Strong,7.99431202891112,-1.2077225968644616,1
8076.T,Japan,Strong,7.993857805787833,-1.2309207287050714,1
RHI.AX,Australia,Strong,7.9617153941284675,-1.2345666899427294,1
452280.KQ,South Korea,Strong,7.972970972610099,-1.2408759124087592,1
039030.KQ,South Korea,Strong,7.981001426116597,-1.257861635220126,1
7953.T,Japan,Strong,7.996012313478225,-1.278772378516624,1
7955.T,Japan,Strong,7.992587899914847,-1.279317697228145,1
SFL,United States,Strong,7.990860595657824,-1.3119223379800176,1
ADTN,United States,Strong,7.983317083344206,-1.319876357014493,1
3241.T,Japan,Strong,7.993268737603626,-1.3605442176870748,1
CASH,United States,Strong,7.989958073306209,-1.361749282057685,1
BMY,United States,Strong,7.9927238906253955,-1.3654524112124853,1
FHI,United States,Strong,7.992547528511771,-1.403581961846339,1
6745.T,Japan,Strong,7.990386723420686,-1.4191106906338695,1
007690.KS,South Korea,Strong,7.98911467514645,-1.4204545454545454,1
3796.T,Japan,Strong,7.988132923944581,-1.4234875444839856,1
EMO,United States,Strong,7.99206785845259,-1.4284435667237896,1
QSR,United States,Strong,7.993147601067654,-1.4458479600598753,1
7604.T,Japan,Strong,7.995329659424932,-1.4502663503746067,1
NAT,United States,Strong,7.984542428955166,-1.4532118313217348,1
FLNG,United States,Strong,7.988157177709466,-1.4694759589411128,1
3176.T,Japan,Strong,7.991960947460911,-1.4906832298136643,1
OMAB,United States,Strong,7.989203393823376,-1.5004746511277218,1
INVX,United States,Strong,7.986129809402303,-1.512669442901341,1
3138.T,Japan,Strong,7.9919076280399075,-1.519213583556747,1
096760.KS,South Korea,Strong,7.991199816837026,-1.5286624203821657,1
9820.T,Japan,Strong,7.990923554505718,-1.532033426183844,1
DBA,United States,Strong,7.995857178929533,-1.5463920421706638,1
688601.SS,China,Strong,7.983234431932789,-1.5531416599878805,1
2139.T,Japan,Strong,7.9925269039700435,-1.556420233463035,1
002831.SZ,China,Strong,7.98924824818474,-1.5614466335371735,1
UTHR,United States,Strong,7.989488477026871,-1.5757554668885276,1
9439.T,Japan,Strong,7.987233775149207,-1.6064257028112447,1
8563.T,Japan,Strong,7.993147204863282,-1.6096579476861168,1
9065.T,Japan,Strong,7.99262302490233,-1.6136261766024205,1
024110.KS,South Korea,Strong,7.993343749159745,-1.6166281755196306,1
ITUB,United States,Strong,7.99018591607524,-1.6206342497450517,1
9537.T,Japan,Strong,7.992791697431813,-1.627906976744186,1
SILVERADD.NS,India,Strong,7.987207313680254,-1.6282775222451629,1
APEI,United States,Strong,7.98069072411302,-1.6302438938545598,1
5237.T,Japan,Strong,7.994495071386416,-1.6474464579901154,1
7521.T,Japan,Strong,7.993480733524818,-1.6690340909090908,1
WTI,United States,Strong,7.9791096169067295,-1.6853166761830227,1
PPT,United States,Strong,7.996424074705879,-1.6995835253930294,1
TPZ.TO,Canada,Strong,7.992757728566557,-1.7005500137124672,1
WM,United States,Strong,7.994381438603179,-1.7082442792118402,1
5922.T,Japan,Strong,7.990337260212709,-1.7127071823204418,1
SILVERBETA.NS,India,Strong,7.988117800188333,-1.7158669592526743,1
4116.T,Japan,Strong,7.992278134130283,-1.7335766423357664,1
002960.KS,South Korea,Strong,7.9929859419875715,-1.7364657814096014,1
603701.SS,China,Strong,7.9858486444339505,-1.7399463104297483,1
TATSILV.NS,India,Strong,7.986698708900815,-1.7497879055076482,1
6418.T,Japan,Strong,7.989030285613853,-1.7509727626459144,1
2193.HK,Hong Kong,Strong,7.988294037940893,-1.754384313814067,1
6964.T,Japan,Strong,7.993565019332754,-1.7543859649122806,1
TRA.AX,Australia,Strong,7.996265200755749,-1.7558440797947008,1
2286.T,Japan,Strong,7.992095575091527,-1.762114537444934,1
9368.T,Japan,Strong,7.992074505069836,-1.7699115044247788,1
TRC,United States,Strong,7.992196823778718,-1.7708340576953072,1
SCCO,United States,Strong,7.987985794630582,-1.7934075675945034,1
7850.T,Japan,Strong,7.992453597099121,-1.8018018018018016,1
3248.T,Japan,Strong,7.99313672314533,-1.8073960838195144,1
244920.KS,South Korea,Strong,7.987844888132712,-1.8095238095238095,1
2185.T,Japan,Strong,7.991040056521268,-1.8114011720831111,1
YPF,United States,Strong,7.983613787209386,-1.8133561978958936,1
8364.T,Japan,Strong,7.992461071788179,-1.8210609659540775,1
NBBK,United States,Strong,7.992002695438371,-1.8339037979257793,1
6444.T,Japan,Strong,7.986062244395639,-1.8404907975460123,1
4125.T,Japan,Strong,7.984757317081405,-1.8433179723502304,1
6555.T,Japan,Strong,7.990624590009158,-1.8433179723502304,1
KMI,United States,Strong,7.993248796797732,-1.8610619015373353,1
5192.T,Japan,Strong,7.992986861258235,-1.86799501867995,1
013520.KS,South Korea,Strong,7.986046442948591,-1.8691588785046729,1
CAM.AX,Australia,Strong,7.995094009193014,-1.8708016282096365,1
OBIO,United States,Strong,7.973120196506381,-1.873534521391172,1
2114.T,Japan,Strong,7.99376461391932,-1.8838304552590264,1
1398.HK,Hong Kong,Strong,7.993778762533223,-1.8861292433778876,1
UCIB,United States,Strong,7.991940334149227,-1.8899741244507784,1
3096.T,Japan,Strong,7.995802826454761,-1.9088669950738917,1
7794.T,Japan,Strong,7.9743336401759155,-1.9154030327214684,1
GNT,United States,Strong,7.994046286470256,-1.9357551638328745,1
9835.T,Japan,Strong,7.995922047433194,-1.9455252918287935,1
6915.T,Japan,Strong,7.991383402846259,-1.9490254872563717,1
CLH,United States,Strong,7.991416457713982,-1.952857842750421,1
4124.T,Japan,Strong,7.9854073975075615,-1.9534184823441023,1
SB,United States,Strong,7.987474345794664,-1.958231542605428,1
2321.HK,Hong Kong,Strong,7.981403798242256,-1.960782480441495,1
605287.SS,China,Strong,7.985749390455975,-1.974274995997445,1
BGA.AX,Australia,Strong,7.991185958907001,-1.9801961500356329,1
6005.T,Japan,Strong,7.990715974769733,-2.011138613861386,1
EXC,United States,Strong,7.99378424409294,-2.0265966564577984,1
4265.T,Japan,Strong,7.980713690159632,-2.051282051282051,1
4743.T,Japan,Strong,7.992189461164026,-2.088305489260143,1
CVGW,United States,Strong,7.986972305139158,-2.0945144351225604,1
5973.T,Japan,Strong,7.993134044183732,-2.0967741935483875,1
5981.T,Japan,Strong,7.990122880186551,-2.1052631578947367,1
9633.T,Japan,Strong,7.996288964720128,-2.108433734939759,1
GOLDIETF.NS,India,Strong,7.99302487199318,-2.1565245235203077,1
GOLDADD.NS,India,Strong,7.992745381888058,-2.158131159929664,1
9625.T,Japan,Strong,7.988032882467917,-2.1838034576888083,1
3577.T,Japan,Strong,7.9941617203786866,-2.18522372528616,1
GOLDBETA.NS,India,Strong,7.99472120584662,-2.199120298191263,1
MDU,United States,Strong,7.993100090566407,-2.213576529465827,1
8098.T,Japan,Strong,7.993055237141357,-2.2332506203473943,1
GOLD1.NS,India,Strong,7.994554370650665,-2.2458350158062896,1
ARI,United States,Strong,7.99077697963666,-2.2577588761464167,1
PCG-PX,United States,Strong,7.993226078417418,-2.2682540117063295,1
7986.T,Japan,Strong,7.99122748026398,-2.2857142857142856,1
4242.T,Japan,Strong,7.991743984881125,-2.305159165751921,1
7131.T,Japan,Strong,7.988241243112442,-2.306648575305291,1
PCG-PD,United States,Strong,7.992386721666817,-2.368425068102385,1
6848.T,Japan,Strong,7.993110746767514,-2.3728813559322033,1
HDFCGOLD.NS,India,Strong,7.993556015399084,-2.3874977395829373,1
LSAK,United States,Strong,7.986349507701873,-2.390435976394851,1
3446.T,Japan,Strong,7.981090086135009,-2.3970818134445024,1
7914.T,Japan,Strong,7.991825630246098,-2.404438964241677,1
KLXE,United States,Strong,7.972876884093056,-2.409636246977518,1
9896.T,Japan,Strong,7.99112982462524,-2.4226110363391657,1
OBL.AX,Australia,Strong,7.984215400899797,-2.439022085483674,1
3768.T,Japan,Strong,7.990700826070617,-2.4475524475524475,1
2014.TW,Taiwan,Strong,7.988266822095748,-2.4590102423583584,1
8022.T,Japan,Strong,7.989029937953735,-2.460202604920405,1
603538.SS,China,Strong,7.984327565884815,-2.462929177400196,1
8144.T,Japan,Strong,7.994805195370651,-2.4756189047261814,1
AXISILVER.NS,India,Strong,7.989114224351222,-2.4759307848292353,1
688375.SS,China,Strong,7.984485810610684,-2.4783840097817813,1
3232.T,Japan,Strong,7.993395437466679,-2.508960573476702,1
603271.SS,China,Strong,7.987333180478348,-2.5140658007571477,1
900070.KQ,South Korea,Strong,7.9840626508971075,-2.5193798449612403,1
166090.KQ,South Korea,Strong,7.982725111790573,-2.533783783783784,1
6776.T,Japan,Strong,7.989587611895308,-2.5454545454545454,1
7246.T,Japan,Strong,7.99125324059611,-2.5454545454545454,1
028100.KS,South Korea,Strong,7.989588675927941,-2.5495750708215295,1
8088.T,Japan,Strong,7.990890230845391,-2.564102564102564,1
4676.T,Japan,Strong,7.99010767526285,-2.5766871165644174,1
5162.T,Japan,Strong,7.992577967275,-2.5798525798525795,1
UGA,United States,Strong,7.989646514948303,-2.583273418858884,1
XFOR,United States,Strong,7.965176821516185,-2.594331665452831,1
TRMD,United States,Strong,7.986010595205723,-2.595089451174665,1
014680.KS,South Korea,Strong,7.985387761886287,-2.5974025974025974,1
3392.T,Japan,Strong,7.992474649687335,-2.6047565118912797,1
NRXS,United States,Strong,7.9706016733378515,-2.620690444420124,1
NBR,United States,Strong,7.980075118127917,-2.662829491564125,1
