yf_symbol,market_name,quality_score,momentum_3m
IHT,United States,7.97384240331604,63.72548905027593
IMAX,United States,7.987968875053662,-0.6229753135955788
IMMX,United States,8.967377915116883,15.659962392800974
IMDX,United States,7.972484842703597,52.65956876800306
IMMR,United States,7.986263395770847,21.627038862561022
IMNM,United States,8.972974332222126,8.104397643760725
IMPP,United States,8.960229455024326,5.543236969235863
IMOS,United States,8.98691516123075,76.43062175368324
IMKTA,United States,7.992102378480622,-0.868813979129106
IMPPP,United States,8.993224284245763,2.040920267929882
IMO,United States,7.990264700118227,-12.40569788266077
INAC,United States,7.9992725382116525,1.164857148909229
IMUX,United States,8.970559138223177,27.58620434510447
IMVT,United States,8.977547938179391,58.3265343490912
INACU,United States,8.998957476024202,0.8806276931150782
INBX,United States,8.969899572082438,53.596731789728935
INCY,United States,8.991067252862138,21.81799253475717
INBK,United States,8.985338797434176,36.90313758072597
INBKZ,United States,8.992731731833954,5.633079902498787
INCR,United States,7.980206113760339,43.42105882319725
INDV,United States,8.920657158328218,30.62028268447276
INDI,United States,8.975980169119815,38.338650651438755
INEO,United States,7.952661298389559,31.37255474862033
INDP,United States,7.9624933116724,89.37499538995333
INGM,United States,8.987291939806516,3.9597911463711672
INFU,United States,8.98405033354502,9.364907310349952
INDB,United States,8.990464508523651,10.467833581612044
ING,United States,8.99061208434538,24.608620329789648
INMD,United States,7.984286204358035,7.324149613312381
INM,United States,7.952618771211302,130.08849619761034
INN,United States,8.988586599193122,57.71407951658601
INNV,United States,8.977561026025473,57.55584179708831
INOD,United States,8.967869258191428,79.04859648496532
INTG,United States,8.981471591369232,25.295511282666165
INMB,United States,7.974237377682798,40.49586728006576
INTT,United States,8.982235048954319,11.58493354509829
INTC,United States,8.984061998976303,138.88446987407636
INV,United States,8.978623198607018,3.8793170335178506
INSW,United States,8.987635901434246,15.68858022889565
INVX,United States,7.986129809402303,-1.512669442901341
IONS,United States,8.987318058086156,9.372913558522372
INVH,United States,7.993024984173799,20.71299531107713
IOR,United States,7.98622429803252,0.5452583458981917
IOVA,United States,8.972987494794042,25.655972562540217
IPCX,United States,8.998858888275748,1.2720167421161137
IOSP,United States,7.992011060944035,13.94298082274323
IOT,United States,7.980246876121937,11.37632416178054
IPCXU,United States,8.997301035499884,2.3832221683008834
IPEX,United States,8.999077077002905,1.0587069590227547
INVA,United States,7.991775773579606,-2.957809099372201
IPHA,United States,7.971873239874224,31.386857376005157
IPB,United States,8.994563251599546,2.0717596739043973
IPAR,United States,7.989884497833073,32.80636885895068
IPGP,United States,7.985655005768353,-7.609272961704913
IP,United States,7.9901312342877855,13.160836466653857
IPWR,United States,8.973641214935519,64.70588418622518
IPSC,United States,8.975004109859803,14.084504046847346
IPOD,United States,8.999142786039501,1.1148883128525255
IPODU,United States,8.996367624607068,2.392344541273063
IQV,United States,7.989841652995381,19.496710060188818
IRD,United States,7.977819262753621,-7.032970510924182
IQMX,United States,8.991799905675439,24.688994935852396
IQI,United States,8.996566179399712,9.086051456139767
IRDM,United States,8.985844401638017,64.09289386223838
IRM,United States,8.99105320122216,14.192634794734811
IRON,United States,7.979103771107264,16.999082201868067
IRWD,United States,8.977991956498094,22.316383343673785
IRMD,United States,8.986947099359842,5.167765453777236
IRT,United States,8.991850786604978,16.014187936142797
ITGR,United States,7.989592012124519,9.545194083103564
ISTR,United States,8.99086196035459,7.90404994729112
ITIC,United States,8.990010682341051,28.78076002219604
ITRN,United States,8.990825557187167,12.596539967281482
ITUB,United States,7.99018591607524,-1.6206342497450517
IVR-PC,United States,8.993319137653423,5.656677916314347
IWDL,United States,8.990896243821524,28.605457417016456
IVT,United States,8.872189916268951,16.553902852935426
IVZ,United States,8.989006006212339,12.763270549308722
IWML,United States,8.986073571263194,37.424896358347254
IWFL,United States,8.985870624211415,25.50414378293597
ITW,United States,8.993643860776066,6.274661582300794
JACS,United States,8.998583861090335,1.138518842442054
IVR,United States,8.989434091407501,1.385469286705147
IX,United States,8.992446797117585,30.069931668903337
JAKK,United States,8.981827460792683,17.49602412847768
JAZZ,United States,8.99042807534629,30.2326853143029
